Country,Week,Gender,Alpha,Beta,Delta,Omicron,Other_variants,Total
SAU,202010,Male,0,0,0,0,2,2
SAU,202011,Female,0,0,0,0,2,2
SAU,202012,Male,0,0,0,0,3,3
SAU,202013,Female,0,0,0,0,9,9
SAU,202013,Male,0,0,0,0,19,19
SAU,202014,Female,0,0,0,0,12,12
SAU,202014,Male,0,0,0,0,53,53
SAU,202015,Female,0,0,0,0,15,15
SAU,202015,Male,0,0,0,0,61,61
SAU,202016,Female,0,0,0,0,7,7
SAU,202016,Male,0,0,0,0,30,30
SAU,202017,Female,0,0,0,0,4,4
SAU,202017,Male,0,0,0,0,93,93
SAU,202018,Female,0,0,0,0,4,4
SAU,202018,Male,0,0,0,0,16,16
SAU,202019,Female,0,0,0,0,1,1
SAU,202019,Male,0,0,0,0,10,10
SAU,202020,Female,0,0,0,0,1,1
SAU,202020,Male,0,0,0,0,7,7
SAU,202022,Female,0,0,0,0,10,10
SAU,202022,Male,0,0,0,0,50,50
SAU,202023,Female,0,0,0,0,1,1
SAU,202024,Female,0,0,0,0,16,16
SAU,202024,Male,0,0,0,0,27,27
SAU,202025,Female,0,0,0,0,9,9
SAU,202025,Male,0,0,0,0,12,12
SAU,202026,Female,0,0,0,0,2,2
SAU,202026,Male,0,0,0,0,24,24
SAU,202032,Female,0,0,0,0,2,2
SAU,202032,Male,0,0,0,0,6,6
SAU,202047,Female,0,0,0,0,1,1
SAU,202047,Male,0,0,0,0,1,1
SAU,202048,Male,0,0,0,0,3,3
SAU,202049,Female,0,0,0,0,1,1
SAU,202049,Male,0,0,0,0,1,1
SAU,202050,Male,0,0,0,0,2,2
SAU,202051,Female,0,0,0,0,3,3
SAU,202051,Male,0,0,0,0,2,2
SAU,202101,Female,0,0,0,0,1,1
SAU,202101,Male,0,0,0,0,2,2
SAU,202102,Female,0,0,0,0,1,1
SAU,202102,Male,0,0,0,0,1,1
SAU,202103,Male,0,0,0,0,1,1
SAU,202105,Female,0,0,0,0,8,8
SAU,202105,Male,0,0,0,0,5,5
SAU,202106,Female,0,0,0,0,38,38
SAU,202106,Male,0,0,0,0,33,33
SAU,202107,Female,0,0,0,0,3,3
SAU,202107,Male,0,0,0,0,11,11
SAU,202108,Female,0,0,0,0,10,10
SAU,202108,Male,0,0,0,0,3,3
SAU,202114,Female,2,0,0,0,0,2
SAU,202115,Female,0,0,0,0,2,2
SAU,202115,Male,0,0,0,0,2,2
SAU,202116,Female,0,0,0,0,1,1
SAU,202116,Male,2,1,0,0,3,6
SAU,202117,Female,2,0,0,0,1,3
SAU,202117,Male,0,0,0,0,3,3
SAU,202118,Female,2,0,0,0,1,3
SAU,202119,Female,0,0,1,0,1,2
SAU,202120,Female,4,4,1,0,1,10
SAU,202120,Male,1,2,0,0,2,5
SAU,202121,Female,1,3,0,0,2,6
SAU,202121,Male,0,1,0,0,3,4
SAU,202123,Female,0,1,0,0,0,1
SAU,202123,Male,0,1,0,0,1,2
SAU,202124,Male,0,0,0,0,1,1
SAU,202126,Female,0,0,1,0,0,1
SAU,202126,Male,0,0,1,0,0,1
SAU,202127,Female,0,0,2,0,0,2
SAU,202127,Male,0,0,1,0,0,1
SAU,202128,Male,0,1,0,0,0,1
SAU,202129,Male,0,0,1,0,0,1
SAU,202131,Female,0,0,1,0,0,1
SAU,202136,Female,0,0,2,0,1,3
SAU,202138,Female,0,0,1,0,0,1
SAU,202148,Female,0,0,1,0,0,1
SAU,202149,Female,0,0,1,0,0,1
SAU,202149,Male,0,0,2,0,0,2
SAU,202150,Female,0,0,3,7,0,10
SAU,202150,Male,0,0,0,2,0,2
SAU,202151,Female,0,0,1,9,0,10
SAU,202151,Male,0,0,0,11,0,11
