Country,Week,Alpha,Beta,Delta,Omicron BA.1,Omicron BA.2,Other_variants,Total
SAU,202010,0,0,0,0,0,2,2
SAU,202011,0,0,0,0,0,2,2
SAU,202012,0,0,0,0,0,3,3
SAU,202013,0,0,0,0,0,28,28
SAU,202014,0,0,0,0,0,65,65
SAU,202015,0,0,0,0,0,76,76
SAU,202016,0,0,0,0,0,37,37
SAU,202017,0,0,0,0,0,97,97
SAU,202018,0,0,0,0,0,20,20
SAU,202019,0,0,0,0,0,11,11
SAU,202020,0,0,0,0,0,8,8
SAU,202022,0,0,0,0,0,60,60
SAU,202023,0,0,0,0,0,1,1
SAU,202024,0,0,0,0,0,43,43
SAU,202025,0,0,0,0,0,21,21
SAU,202026,0,0,0,0,0,26,26
SAU,202032,0,0,0,0,0,8,8
SAU,202047,0,0,0,0,0,2,2
SAU,202048,0,0,0,0,0,3,3
SAU,202049,0,0,0,0,0,2,2
SAU,202050,0,0,0,0,0,2,2
SAU,202051,0,0,0,0,0,5,5
SAU,202101,0,0,0,0,0,3,3
SAU,202102,0,0,0,0,0,2,2
SAU,202103,0,0,0,0,0,1,1
SAU,202105,0,0,0,0,0,13,13
SAU,202106,0,0,0,0,0,71,71
SAU,202107,0,0,0,0,0,14,14
SAU,202108,0,0,0,0,0,13,13
SAU,202114,2,0,0,0,0,0,2
SAU,202115,0,0,0,0,0,4,4
SAU,202116,2,1,0,0,0,4,7
SAU,202117,2,0,0,0,0,4,6
SAU,202118,2,0,0,0,0,1,3
SAU,202119,0,0,1,0,0,1,2
SAU,202120,5,6,1,0,0,3,15
SAU,202121,1,4,0,0,0,5,10
SAU,202123,0,2,0,0,0,1,3
SAU,202124,0,0,0,0,0,1,1
SAU,202126,0,0,2,0,0,0,2
SAU,202127,0,0,3,0,0,0,3
SAU,202128,0,1,0,0,0,0,1
SAU,202129,0,0,1,0,0,0,1
SAU,202131,0,0,1,0,0,0,1
SAU,202136,0,0,2,0,0,1,3
SAU,202138,0,0,1,0,0,0,1
SAU,202148,0,0,1,0,0,0,1
SAU,202149,0,0,3,0,0,0,3
SAU,202150,0,0,3,8,0,1,12
SAU,202151,0,0,1,7,0,13,21
