Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
SAU,202006,0,0,0,0,2,2
SAU,202007,0,0,0,0,5,5
SAU,202008,0,0,0,0,5,5
SAU,202009,0,0,0,0,4,4
SAU,202010,0,0,0,0,3,3
SAU,202011,0,0,0,0,8,8
SAU,202012,0,0,0,0,23,23
SAU,202013,0,0,0,0,61,61
SAU,202014,0,0,0,0,95,95
SAU,202015,0,0,0,0,122,122
SAU,202016,0,0,0,0,68,68
SAU,202017,0,0,0,0,107,107
SAU,202018,0,0,0,0,39,39
SAU,202019,0,0,0,0,14,14
SAU,202020,0,0,0,0,8,8
SAU,202022,0,0,0,0,63,63
SAU,202023,0,0,0,0,29,29
SAU,202024,0,0,0,0,73,73
SAU,202025,0,0,0,0,62,62
SAU,202026,0,0,0,0,68,68
SAU,202027,0,0,0,0,38,38
SAU,202029,0,0,0,0,13,13
SAU,202031,0,0,0,0,15,15
SAU,202032,0,0,0,0,8,8
SAU,202033,0,0,0,0,7,7
SAU,202035,0,0,0,0,14,14
SAU,202047,0,0,0,0,2,2
SAU,202048,0,0,0,0,3,3
SAU,202049,0,0,0,0,2,2
SAU,202050,0,0,0,0,2,2
SAU,202051,0,0,0,0,5,5
SAU,202101,0,0,0,0,3,3
SAU,202102,0,0,0,0,2,2
SAU,202103,0,0,0,0,1,1
SAU,202105,0,0,0,0,13,13
SAU,202106,0,0,0,0,72,72
SAU,202107,0,0,0,0,14,14
SAU,202108,0,0,0,0,13,13
SAU,202114,2,0,0,0,0,2
SAU,202115,1,1,0,0,6,8
SAU,202116,2,1,0,0,4,7
SAU,202117,2,0,0,0,4,6
SAU,202118,2,0,0,0,1,3
SAU,202119,0,0,1,0,1,2
SAU,202120,5,6,1,0,3,15
SAU,202121,1,4,0,0,5,10
SAU,202123,0,2,0,0,1,3
SAU,202124,0,0,0,0,1,1
SAU,202126,0,0,2,0,0,2
SAU,202127,0,0,3,0,0,3
SAU,202128,0,1,0,0,0,1
SAU,202129,0,0,1,0,0,1
SAU,202131,0,0,1,0,0,1
SAU,202136,0,0,2,0,1,3
SAU,202138,0,0,1,0,0,1
SAU,202148,0,0,1,0,0,1
SAU,202149,0,0,3,0,0,3
SAU,202150,0,0,3,9,0,12
SAU,202151,0,0,1,20,0,21
