Country,Week,Age_group,Alpha,Beta,Delta,Omicron,Other_variants,Total
TUR,202012,20 – 30,0,0,0,0,4,4
TUR,202012,30 – 40,0,0,0,0,8,8
TUR,202012,40 – 50,0,0,0,0,4,4
TUR,202012,50 – 60,0,0,0,0,7,7
TUR,202012,60 – 70,0,0,0,0,3,3
TUR,202012,70 – 80,0,0,0,0,4,4
TUR,202012,>= 80,0,0,0,0,1,1
TUR,202013,1 – 5,0,0,0,0,1,1
TUR,202013,10 – 20,0,0,0,0,1,1
TUR,202013,30 – 40,0,0,0,0,4,4
TUR,202013,40 – 50,0,0,0,0,4,4
TUR,202013,50 – 60,0,0,0,0,8,8
TUR,202013,60 – 70,0,0,0,0,6,6
TUR,202013,70 – 80,0,0,0,0,3,3
TUR,202014,40 – 50,0,0,0,0,1,1
TUR,202015,30 – 40,0,0,0,0,1,1
TUR,202015,40 – 50,0,0,0,0,1,1
TUR,202015,50 – 60,0,0,0,0,1,1
TUR,202015,>= 80,0,0,0,0,1,1
TUR,202016,10 – 20,0,0,0,0,1,1
TUR,202016,20 – 30,0,0,0,0,1,1
TUR,202016,30 – 40,0,0,0,0,4,4
TUR,202016,40 – 50,0,0,0,0,5,5
TUR,202016,50 – 60,0,0,0,0,2,2
TUR,202016,70 – 80,0,0,0,0,2,2
TUR,202017,20 – 30,0,0,0,0,5,5
TUR,202017,30 – 40,0,0,0,0,2,2
TUR,202017,40 – 50,0,0,0,0,3,3
TUR,202017,50 – 60,0,0,0,0,3,3
TUR,202017,60 – 70,0,0,0,0,1,1
TUR,202017,70 – 80,0,0,0,0,1,1
TUR,202017,>= 80,0,0,0,0,3,3
TUR,202018,1 – 5,0,0,0,0,1,1
TUR,202018,20 – 30,0,0,0,0,7,7
TUR,202018,30 – 40,0,0,0,0,7,7
TUR,202018,40 – 50,0,0,0,0,7,7
TUR,202018,50 – 60,0,0,0,0,5,5
TUR,202018,60 – 70,0,0,0,0,5,5
TUR,202018,70 – 80,0,0,0,0,5,5
TUR,202019,1 – 5,0,0,0,0,1,1
TUR,202019,10 – 20,0,0,0,0,2,2
TUR,202019,20 – 30,0,0,0,0,1,1
TUR,202019,30 – 40,0,0,0,0,3,3
TUR,202019,40 – 50,0,0,0,0,9,9
TUR,202019,5 – 10,0,0,0,0,1,1
TUR,202019,50 – 60,0,0,0,0,11,11
TUR,202019,60 – 70,0,0,0,0,8,8
TUR,202019,70 – 80,0,0,0,0,4,4
TUR,202019,>= 80,0,0,0,0,7,7
TUR,202020,10 – 20,0,0,0,0,4,4
TUR,202020,20 – 30,0,0,0,0,3,3
TUR,202020,30 – 40,0,0,0,0,4,4
TUR,202020,40 – 50,0,0,0,0,8,8
TUR,202020,50 – 60,0,0,0,0,5,5
TUR,202020,60 – 70,0,0,0,0,3,3
TUR,202020,70 – 80,0,0,0,0,1,1
TUR,202021,1 – 5,0,0,0,0,2,2
TUR,202021,10 – 20,0,0,0,0,2,2
TUR,202021,20 – 30,0,0,0,0,15,15
TUR,202021,30 – 40,0,0,0,0,10,10
TUR,202021,40 – 50,0,0,0,0,2,2
TUR,202021,50 – 60,0,0,0,0,5,5
TUR,202021,60 – 70,0,0,0,0,3,3
TUR,202021,70 – 80,0,0,0,0,3,3
TUR,202021,>= 80,0,0,0,0,2,2
TUR,202022,10 – 20,0,0,0,0,2,2
TUR,202022,20 – 30,0,0,0,0,2,2
TUR,202022,30 – 40,0,0,0,0,4,4
TUR,202022,40 – 50,0,0,0,0,2,2
TUR,202022,50 – 60,0,0,0,0,2,2
TUR,202022,70 – 80,0,0,0,0,1,1
TUR,202022,>= 80,0,0,0,0,1,1
TUR,202023,20 – 30,0,0,0,0,1,1
TUR,202023,30 – 40,0,0,0,0,6,6
TUR,202023,40 – 50,0,0,0,0,1,1
TUR,202023,50 – 60,0,0,0,0,2,2
TUR,202023,70 – 80,0,0,0,0,2,2
TUR,202025,20 – 30,0,0,0,0,1,1
TUR,202025,40 – 50,0,0,0,0,1,1
TUR,202025,5 – 10,0,0,0,0,1,1
TUR,202025,60 – 70,0,0,0,0,2,2
TUR,202026,10 – 20,0,0,0,0,1,1
TUR,202026,30 – 40,0,0,0,0,1,1
TUR,202026,40 – 50,0,0,0,0,3,3
TUR,202026,50 – 60,0,0,0,0,3,3
TUR,202026,60 – 70,0,0,0,0,6,6
TUR,202026,>= 80,0,0,0,0,2,2
TUR,202031,10 – 20,0,0,0,0,1,1
TUR,202031,20 – 30,0,0,0,0,1,1
TUR,202031,40 – 50,0,0,0,0,1,1
TUR,202031,50 – 60,0,0,0,0,1,1
TUR,202031,70 – 80,0,0,0,0,2,2
TUR,202031,>= 80,0,0,0,0,1,1
TUR,202032,70 – 80,0,0,0,0,1,1
TUR,202035,20 – 30,0,0,0,0,2,2
TUR,202035,30 – 40,0,0,0,0,1,1
TUR,202035,40 – 50,0,0,0,0,1,1
TUR,202035,50 – 60,0,0,0,0,1,1
TUR,202035,70 – 80,0,0,0,0,2,2
TUR,202048,20 – 30,0,0,0,0,1,1
TUR,202050,20 – 30,0,0,0,0,1,1
TUR,202050,30 – 40,0,0,0,0,1,1
TUR,202050,5 – 10,0,0,0,0,1,1
TUR,202050,50 – 60,0,0,0,0,1,1
TUR,202050,60 – 70,0,0,0,0,1,1
TUR,202051,10 – 20,0,0,0,0,1,1
TUR,202052,10 – 20,0,0,0,0,1,1
TUR,202052,20 – 30,1,0,0,0,1,2
TUR,202052,30 – 40,0,0,0,0,1,1
TUR,202052,40 – 50,0,0,0,0,2,2
TUR,202052,50 – 60,0,0,0,0,3,3
TUR,202053,20 – 30,2,0,0,0,1,3
TUR,202053,40 – 50,1,0,0,0,2,3
TUR,202053,50 – 60,0,0,0,0,1,1
TUR,202053,60 – 70,0,0,0,0,1,1
TUR,202101,20 – 30,1,0,0,0,0,1
TUR,202101,50 – 60,2,0,0,0,0,2
TUR,202101,70 – 80,1,0,0,0,1,2
TUR,202102,10 – 20,0,0,0,0,1,1
TUR,202102,20 – 30,0,0,0,0,1,1
TUR,202102,50 – 60,1,0,0,0,0,1
TUR,202102,70 – 80,0,0,0,0,1,1
TUR,202103,40 – 50,0,0,0,0,1,1
TUR,202104,20 – 30,0,0,0,0,1,1
TUR,202104,>= 80,0,0,0,0,1,1
TUR,202105,40 – 50,0,0,0,0,1,1
TUR,202105,50 – 60,0,0,0,0,1,1
TUR,202105,60 – 70,0,0,0,0,2,2
TUR,202105,70 – 80,0,0,0,0,1,1
TUR,202106,20 – 30,0,0,0,0,2,2
TUR,202106,40 – 50,0,0,0,0,1,1
TUR,202106,50 – 60,0,0,0,0,3,3
TUR,202107,5 – 10,0,0,0,0,1,1
TUR,202107,60 – 70,0,0,0,0,1,1
TUR,202107,70 – 80,0,0,0,0,1,1
TUR,202108,30 – 40,0,0,0,0,1,1
TUR,202108,40 – 50,1,0,0,0,0,1
TUR,202108,50 – 60,0,0,0,0,1,1
TUR,202108,60 – 70,0,0,0,0,1,1
TUR,202108,>= 80,0,0,0,0,1,1
TUR,202109,10 – 20,0,0,0,0,2,2
TUR,202109,70 – 80,0,0,0,0,1,1
TUR,202110,10 – 20,0,0,0,0,1,1
TUR,202110,50 – 60,1,0,0,0,0,1
TUR,202110,60 – 70,1,0,0,0,1,2
TUR,202111,40 – 50,0,0,0,0,1,1
TUR,202112,20 – 30,1,0,0,0,0,1
TUR,202112,30 – 40,1,0,0,0,0,1
TUR,202112,40 – 50,1,0,0,0,0,1
TUR,202112,50 – 60,1,0,0,0,0,1
TUR,202112,60 – 70,1,0,0,0,0,1
TUR,202113,10 – 20,0,1,0,0,0,1
TUR,202113,20 – 30,1,0,0,0,0,1
TUR,202113,30 – 40,1,0,0,0,0,1
TUR,202113,40 – 50,1,0,0,0,1,2
TUR,202113,50 – 60,1,0,0,0,0,1
TUR,202113,60 – 70,1,0,0,0,0,1
TUR,202114,30 – 40,0,0,0,0,1,1
TUR,202114,40 – 50,3,0,0,0,2,5
TUR,202114,5 – 10,0,0,0,0,1,1
TUR,202114,50 – 60,2,0,0,0,0,2
TUR,202115,50 – 60,3,0,0,0,0,3
TUR,202115,60 – 70,1,0,0,0,0,1
TUR,202116,40 – 50,1,0,0,0,0,1
TUR,202116,50 – 60,1,0,0,0,0,1
TUR,202118,40 – 50,0,1,0,0,1,2
TUR,202128,20 – 30,0,0,1,0,0,1
TUR,202148,30 – 40,0,0,2,0,0,2
TUR,202149,20 – 30,0,0,1,0,0,1
TUR,202150,30 – 40,0,0,1,0,0,1
TUR,202152,70 – 80,0,0,1,0,0,1
TUR,202201,20 – 30,0,0,0,1,0,1
TUR,202201,50 – 60,0,0,1,0,0,1
TUR,202201,60 – 70,0,0,0,1,0,1
TUR,202201,70 – 80,0,0,0,1,0,1
TUR,202202,20 – 30,0,0,0,1,0,1
