Country,Week,Age_group,Alpha,Beta,Delta,Omicron BA.1,Omicron BA.2,Other_variants,Total
UKR,202017,30 – 40,0,0,0,0,0,1,1
UKR,202017,40 – 50,0,0,0,0,0,1,1
UKR,202019,20 – 30,0,0,0,0,0,1,1
UKR,202020,20 – 30,0,0,0,0,0,1,1
UKR,202020,40 – 50,0,0,0,0,0,2,2
UKR,202020,50 – 60,0,0,0,0,0,3,3
UKR,202020,70 – 80,0,0,0,0,0,1,1
UKR,202020,>= 80,0,0,0,0,0,1,1
UKR,202021,60 – 70,0,0,0,0,0,1,1
UKR,202022,30 – 40,0,0,0,0,0,1,1
UKR,202022,40 – 50,0,0,0,0,0,4,4
UKR,202022,50 – 60,0,0,0,0,0,3,3
UKR,202022,60 – 70,0,0,0,0,0,7,7
UKR,202022,70 – 80,0,0,0,0,0,3,3
UKR,202022,>= 80,0,0,0,0,0,1,1
UKR,202023,50 – 60,0,0,0,0,0,2,2
UKR,202026,1 – 5,0,0,0,0,0,1,1
UKR,202026,20 – 30,0,0,0,0,0,2,2
UKR,202026,30 – 40,0,0,0,0,0,1,1
UKR,202026,40 – 50,0,0,0,0,0,3,3
UKR,202026,50 – 60,0,0,0,0,0,2,2
UKR,202026,60 – 70,0,0,0,0,0,3,3
UKR,202026,70 – 80,0,0,0,0,0,2,2
UKR,202028,50 – 60,0,0,0,0,0,2,2
UKR,202028,60 – 70,0,0,0,0,0,1,1
UKR,202031,40 – 50,0,0,0,0,0,1,1
UKR,202031,50 – 60,0,0,0,0,0,1,1
UKR,202031,60 – 70,0,0,0,0,0,1,1
UKR,202032,30 – 40,0,0,0,0,0,2,2
UKR,202032,40 – 50,0,0,0,0,0,3,3
UKR,202032,50 – 60,0,0,0,0,0,3,3
UKR,202032,60 – 70,0,0,0,0,0,1,1
UKR,202032,70 – 80,0,0,0,0,0,1,1
UKR,202048,1 – 5,0,0,0,0,0,1,1
UKR,202048,5 – 10,0,0,0,0,0,1,1
UKR,202053,20 – 30,0,0,0,0,0,1,1
UKR,202053,30 – 40,0,0,0,0,0,2,2
UKR,202053,40 – 50,0,0,0,0,0,3,3
UKR,202053,50 – 60,0,0,0,0,0,14,14
UKR,202053,60 – 70,0,0,0,0,0,13,13
UKR,202053,70 – 80,0,0,0,0,0,4,4
UKR,202053,>= 80,0,0,0,0,0,6,6
UKR,202101,60 – 70,0,0,0,0,0,2,2
UKR,202101,70 – 80,0,0,0,0,0,1,1
UKR,202102,40 – 50,0,0,0,0,0,3,3
UKR,202102,60 – 70,0,0,0,0,0,1,1
UKR,202107,40 – 50,2,0,0,0,0,0,2
UKR,202107,50 – 60,1,0,0,0,0,0,1
UKR,202107,70 – 80,0,0,0,0,0,1,1
UKR,202108,20 – 30,3,0,0,0,0,0,3
UKR,202108,40 – 50,4,0,0,0,0,0,4
UKR,202108,50 – 60,3,0,0,0,0,1,4
UKR,202108,60 – 70,5,0,0,0,0,1,6
UKR,202108,70 – 80,3,0,0,0,0,0,3
UKR,202108,>= 80,3,0,0,0,0,2,5
UKR,202110,40 – 50,1,0,0,0,0,0,1
UKR,202110,50 – 60,1,0,0,0,0,0,1
UKR,202110,60 – 70,1,0,0,0,0,1,2
UKR,202111,20 – 30,3,0,0,0,0,0,3
UKR,202111,30 – 40,11,0,0,0,0,0,11
UKR,202111,40 – 50,11,0,0,0,0,0,11
UKR,202111,50 – 60,4,0,0,0,0,0,4
UKR,202111,60 – 70,1,0,0,0,0,0,1
UKR,202111,70 – 80,1,0,0,0,0,0,1
UKR,202112,60 – 70,1,0,0,0,0,0,1
UKR,202119,50 – 60,0,0,0,0,0,1,1
UKR,202119,60 – 70,3,0,0,0,0,0,3
UKR,202120,20 – 30,1,0,0,0,0,0,1
UKR,202120,30 – 40,2,0,0,0,0,0,2
UKR,202120,50 – 60,3,0,0,0,0,0,3
UKR,202120,60 – 70,4,0,0,0,0,0,4
UKR,202120,70 – 80,2,0,0,0,0,0,2
UKR,202121,20 – 30,1,0,0,0,0,0,1
UKR,202121,50 – 60,1,0,0,0,0,0,1
UKR,202121,60 – 70,1,0,0,0,0,0,1
UKR,202121,70 – 80,3,0,0,0,0,0,3
UKR,202121,>= 80,1,0,0,0,0,0,1
UKR,202123,50 – 60,1,0,0,0,0,0,1
UKR,202123,60 – 70,1,0,0,0,0,0,1
UKR,202124,30 – 40,1,0,1,0,0,0,2
UKR,202124,40 – 50,1,0,0,0,0,0,1
UKR,202124,50 – 60,5,0,0,0,0,2,7
UKR,202124,60 – 70,4,0,3,0,0,1,8
UKR,202124,70 – 80,4,0,1,0,0,0,5
UKR,202124,< 1,1,0,0,0,0,0,1
