Country,Week,Gender,Alpha,Beta,Delta,Omicron BA.1,Omicron BA.2,Other_variants,Total
UKR,202017,Female,0,0,0,0,0,1,1
UKR,202017,Male,0,0,0,0,0,1,1
UKR,202019,Female,0,0,0,0,0,1,1
UKR,202019,Male,0,0,0,0,0,1,1
UKR,202020,Female,0,0,0,0,0,4,4
UKR,202020,Male,0,0,0,0,0,4,4
UKR,202021,Male,0,0,0,0,0,1,1
UKR,202022,Female,0,0,0,0,0,10,10
UKR,202022,Male,0,0,0,0,0,11,11
UKR,202023,Female,0,0,0,0,0,1,1
UKR,202023,Male,0,0,0,0,0,1,1
UKR,202026,Female,0,0,0,0,0,11,11
UKR,202026,Male,0,0,0,0,0,3,3
UKR,202028,Female,0,0,0,0,0,1,1
UKR,202028,Male,0,0,0,0,0,2,2
UKR,202031,Male,0,0,0,0,0,3,3
UKR,202032,Female,0,0,0,0,0,6,6
UKR,202032,Male,0,0,0,0,0,4,4
UKR,202048,Female,0,0,0,0,0,1,1
UKR,202048,Male,0,0,0,0,0,1,1
UKR,202053,Female,0,0,0,0,0,20,20
UKR,202053,Male,0,0,0,0,0,24,24
UKR,202101,Female,0,0,0,0,0,3,3
UKR,202102,Male,0,0,0,0,0,4,4
UKR,202107,Female,1,0,0,0,0,1,2
UKR,202107,Male,2,0,0,0,0,0,2
UKR,202108,Female,11,0,0,0,0,3,14
UKR,202108,Male,12,0,0,0,0,1,13
UKR,202110,Female,1,0,0,0,0,0,1
UKR,202110,Male,2,0,0,0,0,1,3
UKR,202111,Female,12,0,0,0,0,0,12
UKR,202111,Male,19,0,0,0,0,0,19
UKR,202112,Female,1,0,0,0,0,0,1
UKR,202119,Female,2,0,0,0,0,0,2
UKR,202119,Male,1,0,0,0,0,1,2
UKR,202120,Female,7,0,0,0,0,0,7
UKR,202120,Male,6,0,0,0,0,0,6
UKR,202121,Female,5,0,0,0,0,0,5
UKR,202121,Male,2,0,0,0,0,0,2
UKR,202123,Male,2,0,0,0,0,0,2
UKR,202124,Female,11,0,2,0,0,1,14
UKR,202124,Male,8,0,3,0,0,2,13
UKR,202125,Female,3,0,7,0,0,2,12
UKR,202125,Male,3,0,1,0,0,0,4
UKR,202127,Female,0,0,3,0,0,1,4
UKR,202127,Male,0,0,4,0,0,0,4
UKR,202128,Female,0,0,5,0,0,0,5
UKR,202128,Male,1,0,2,0,0,1,4
UKR,202129,Female,1,0,14,0,0,0,15
UKR,202129,Male,2,0,6,0,0,0,8
UKR,202130,Female,0,0,1,0,0,0,1
UKR,202135,Female,0,0,3,0,0,0,3
UKR,202135,Male,0,0,7,0,0,0,7
UKR,202136,Female,0,0,1,0,0,0,1
UKR,202136,Male,0,0,1,0,0,0,1
UKR,202137,Female,0,0,22,0,0,0,22
UKR,202137,Male,0,0,10,0,0,0,10
UKR,202138,Female,0,0,15,0,0,0,15
UKR,202138,Male,0,0,4,0,0,0,4
UKR,202140,Female,0,0,1,0,0,0,1
UKR,202141,Female,0,0,2,0,0,0,2
UKR,202142,Female,0,0,9,0,0,0,9
UKR,202142,Male,0,0,4,0,0,0,4
UKR,202143,Female,0,0,35,0,0,0,35
UKR,202143,Male,0,0,21,0,0,0,21
UKR,202144,Female,0,0,1,0,0,0,1
UKR,202144,Male,0,0,1,0,0,0,1
UKR,202145,Female,0,0,3,0,0,0,3
UKR,202145,Male,0,0,1,0,0,0,1
UKR,202146,Female,0,0,7,0,0,0,7
UKR,202146,Male,0,0,4,0,0,0,4
UKR,202147,Female,0,0,33,0,0,0,33
UKR,202147,Male,0,0,20,0,0,0,20
UKR,202148,Female,0,0,1,0,0,0,1
UKR,202148,Male,0,0,4,0,0,0,4
UKR,202149,Female,0,0,2,0,0,0,2
UKR,202149,Male,0,0,3,0,0,0,3
UKR,202150,Female,0,0,41,0,0,0,41
UKR,202150,Male,0,0,34,0,0,0,34
UKR,202151,Male,0,0,0,0,0,1,1
UKR,202202,Female,0,0,1,0,0,0,1
UKR,202202,Male,0,0,2,0,0,0,2
UKR,202203,Female,0,0,4,2,3,4,13
UKR,202203,Male,0,0,1,6,3,5,15
UKR,202204,Female,0,0,0,0,1,0,1
UKR,202204,Male,0,0,0,1,0,1,2
UKR,202205,Female,0,0,0,1,0,1,2
UKR,202205,Male,0,0,0,0,0,1,1
UKR,202206,Female,0,0,0,0,0,1,1
UKR,202206,Male,0,0,0,0,1,0,1
