Country,Week,Alpha,Beta,Delta,Omicron BA.1,Omicron BA.2,Other_variants,Total
UKR,202017,0,0,0,0,0,2,2
UKR,202019,0,0,0,0,0,2,2
UKR,202020,0,0,0,0,0,8,8
UKR,202021,0,0,0,0,0,1,1
UKR,202022,0,0,0,0,0,21,21
UKR,202023,0,0,0,0,0,2,2
UKR,202026,0,0,0,0,0,14,14
UKR,202028,0,0,0,0,0,3,3
UKR,202031,0,0,0,0,0,3,3
UKR,202032,0,0,0,0,0,10,10
UKR,202048,0,0,0,0,0,2,2
UKR,202053,0,0,0,0,0,45,45
UKR,202101,0,0,0,0,0,20,20
UKR,202102,0,0,0,0,0,33,33
UKR,202103,0,0,0,0,0,1,1
UKR,202107,3,0,0,0,0,1,4
UKR,202108,23,0,0,0,0,4,27
UKR,202110,3,0,0,0,0,1,4
UKR,202111,31,0,0,0,0,0,31
UKR,202112,1,0,0,0,0,0,1
UKR,202119,3,0,0,0,0,1,4
UKR,202120,13,0,0,0,0,0,13
UKR,202121,7,0,0,0,0,0,7
UKR,202123,2,0,0,0,0,0,2
UKR,202124,19,0,5,0,0,3,27
UKR,202125,6,0,8,0,0,2,16
UKR,202127,0,0,7,0,0,1,8
UKR,202128,1,0,7,0,0,1,9
UKR,202129,3,0,20,0,0,0,23
UKR,202130,0,0,1,0,0,0,1
UKR,202135,0,0,10,0,0,0,10
UKR,202136,0,0,2,0,0,0,2
UKR,202137,0,0,32,0,0,0,32
UKR,202138,0,0,19,0,0,0,19
UKR,202140,0,0,1,0,0,0,1
UKR,202141,0,0,2,0,0,0,2
UKR,202142,0,0,13,0,0,0,13
UKR,202143,0,0,56,0,0,0,56
UKR,202144,0,0,2,0,0,0,2
UKR,202145,0,0,4,0,0,0,4
UKR,202146,0,0,11,0,0,0,11
UKR,202147,0,0,53,0,0,0,53
UKR,202148,0,0,5,0,0,0,5
UKR,202149,0,0,5,0,0,0,5
UKR,202150,0,0,75,0,0,0,75
UKR,202151,0,0,0,0,0,1,1
UKR,202202,0,0,3,0,0,0,3
UKR,202203,0,0,5,8,6,9,28
UKR,202204,0,0,0,1,1,1,3
UKR,202205,0,0,0,1,0,2,3
UKR,202206,0,0,0,0,1,1,2
