Country,Week,Alpha,Beta,Delta,Omicron BA.1,Omicron BA.2,Other_variants,Total
USA,202004,0,0,0,0,0,8,8
USA,202005,0,0,0,0,0,7,7
USA,202006,0,0,0,0,0,1,1
USA,202007,0,0,0,0,0,2,2
USA,202008,0,0,0,0,0,2,2
USA,202009,0,0,0,0,0,14,14
USA,202010,0,0,0,0,0,134,134
USA,202011,0,0,1,0,0,865,866
USA,202012,1,0,0,0,0,2935,2936
USA,202013,0,0,0,0,0,1281,1281
USA,202014,0,0,0,0,0,980,980
USA,202015,0,0,0,0,0,689,689
USA,202016,2,0,0,0,0,393,395
USA,202017,6,0,0,0,0,360,366
USA,202018,0,0,0,0,0,352,352
USA,202019,0,0,0,0,0,398,398
USA,202020,0,0,0,0,0,244,244
USA,202021,1,0,0,0,0,245,246
USA,202022,0,0,0,0,0,187,187
USA,202023,0,0,0,0,0,269,269
USA,202024,0,0,0,0,0,236,236
USA,202025,0,0,0,0,0,326,326
USA,202026,0,0,0,0,0,380,380
USA,202027,0,0,0,0,0,436,436
USA,202028,0,0,0,0,0,560,560
USA,202029,0,0,0,0,0,614,614
USA,202030,0,0,1,0,0,701,702
USA,202031,0,0,0,0,0,780,780
USA,202032,0,0,0,0,0,542,542
USA,202033,0,0,0,0,0,358,358
USA,202034,0,0,0,0,0,459,459
USA,202035,0,0,0,0,0,771,771
USA,202036,0,0,1,0,0,557,558
USA,202037,0,0,0,0,0,452,452
USA,202038,0,0,0,0,0,450,450
USA,202039,0,0,0,0,0,535,535
USA,202040,0,0,0,0,0,702,702
USA,202041,0,0,0,0,0,850,850
USA,202042,0,0,0,0,0,741,741
USA,202043,2,0,0,0,0,1180,1182
USA,202044,2,0,0,0,0,1393,1395
USA,202045,1,0,0,0,0,2844,2845
USA,202046,1,0,0,0,0,3028,3029
USA,202047,1,0,2,0,0,2569,2572
USA,202048,2,0,0,0,0,1823,1825
USA,202049,1,0,0,0,0,2814,2815
USA,202050,0,0,0,0,0,2340,2340
USA,202051,3,0,1,0,0,1749,1753
USA,202052,18,0,1,0,0,2700,2719
USA,202053,92,1,9,2,0,4373,4477
USA,202101,126,1,0,3,0,6552,6682
USA,202102,111,2,3,0,0,5333,5449
USA,202103,204,2,0,0,0,5000,5206
USA,202104,286,8,0,1,0,6645,6940
USA,202105,445,11,1,0,0,7660,8117
USA,202106,695,26,1,0,0,11291,12013
USA,202107,930,30,1,0,0,8451,9412
USA,202108,1777,50,1,0,0,9264,11092
USA,202109,2677,57,1,0,0,9862,12597
USA,202110,4761,90,0,0,0,11595,16446
USA,202111,7253,130,4,0,0,11408,18795
USA,202112,9425,146,4,0,0,10740,20315
USA,202113,13326,207,31,0,0,11249,24813
USA,202114,15174,212,38,0,0,10222,25646
USA,202115,15493,232,99,0,0,9576,25400
USA,202116,12839,150,174,0,0,6892,20055
USA,202117,13275,170,255,0,0,6218,19918
USA,202118,11849,154,329,0,0,5306,17638
USA,202119,9187,89,344,0,0,4196,13816
USA,202120,6480,66,413,0,0,3181,10140
USA,202121,4276,37,573,0,0,2126,7012
USA,202122,2876,14,905,0,0,1693,5488
USA,202123,2762,10,1413,0,0,1682,5867
USA,202124,2696,7,2685,0,0,1702,7090
USA,202125,1855,2,4260,0,0,1436,7553
USA,202126,1430,2,6872,0,0,1314,9618
USA,202127,1051,0,11283,0,0,1310,13644
USA,202128,788,5,16806,0,0,1393,18992
USA,202129,613,5,28658,0,0,1125,30401
USA,202130,478,2,40787,1,0,1201,42469
USA,202131,282,2,50502,0,0,1534,52320
USA,202132,93,1,37747,0,0,450,38291
USA,202133,56,1,38917,0,0,600,39574
USA,202134,24,1,38185,0,0,811,39021
USA,202135,24,0,42811,0,0,650,43485
USA,202136,10,0,43817,0,0,795,44622
USA,202137,7,0,40560,0,0,792,41359
USA,202138,3,0,34980,0,0,676,35659
USA,202139,0,0,34917,0,0,556,35473
USA,202140,1,0,37661,0,0,812,38474
USA,202141,1,0,32767,0,0,539,33307
USA,202142,2,0,33329,0,0,510,33841
USA,202143,2,0,35074,0,0,516,35592
USA,202144,1,0,35266,0,0,631,35898
USA,202145,1,1,38780,0,0,449,39231
USA,202146,1,0,34945,0,0,707,35653
USA,202147,0,0,26424,26,0,210,26660
USA,202148,2,0,32523,228,0,502,33255
USA,202149,1,0,29754,1693,0,1038,32486
USA,202150,2,0,25992,11982,0,7004,44980
USA,202151,0,0,10050,19616,0,14853,44519
USA,202152,0,0,4601,22226,3,21310,48140
USA,202201,0,0,1683,17648,17,19861,39209
USA,202202,0,0,644,13325,49,19418,33436
USA,202203,0,0,261,13404,163,26993,40821
USA,202204,0,0,135,10352,244,24092,34823
USA,202205,0,0,45,5926,245,14105,20321
USA,202206,0,0,7,1239,57,3225,4528
USA,202207,0,0,0,49,3,110,162
