Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
USA,202004,0,0,0,0,7,7
USA,202005,0,0,0,0,7,7
USA,202006,0,0,0,0,1,1
USA,202007,0,0,0,0,2,2
USA,202008,0,0,0,0,1,1
USA,202009,0,0,0,0,13,13
USA,202010,0,0,0,0,124,124
USA,202011,0,0,1,0,841,842
USA,202012,1,0,0,0,2858,2859
USA,202013,0,0,0,0,1187,1187
USA,202014,0,0,0,0,798,798
USA,202015,0,0,0,0,565,565
USA,202016,1,0,0,0,321,322
USA,202017,5,0,0,0,282,287
USA,202018,0,0,0,0,257,257
USA,202019,0,0,0,0,246,246
USA,202020,0,0,0,0,166,166
USA,202021,1,0,0,0,199,200
USA,202022,0,0,0,0,138,138
USA,202023,0,0,0,0,198,198
USA,202024,0,0,0,0,184,184
USA,202025,0,0,0,0,273,273
USA,202026,0,0,0,0,281,281
USA,202027,0,0,0,0,370,370
USA,202028,0,0,0,0,488,488
USA,202029,0,0,0,0,552,552
USA,202030,0,0,1,0,625,626
USA,202031,0,0,0,0,740,740
USA,202032,0,0,0,0,522,522
USA,202033,0,0,0,0,337,337
USA,202034,0,0,0,0,422,422
USA,202035,0,0,0,0,711,711
USA,202036,0,0,1,0,512,513
USA,202037,0,0,0,0,396,396
USA,202038,0,0,0,0,386,386
USA,202039,0,0,0,0,428,428
USA,202040,0,0,0,0,522,522
USA,202041,0,0,0,0,667,667
USA,202042,0,0,0,0,602,602
USA,202043,2,0,0,0,851,853
USA,202044,2,0,0,0,1062,1064
USA,202045,1,0,0,0,2622,2623
USA,202046,1,0,0,0,2851,2852
USA,202047,1,0,2,0,2423,2426
USA,202048,2,0,0,0,1455,1457
USA,202049,1,0,0,0,2372,2373
USA,202050,0,0,0,0,1886,1886
USA,202051,3,0,1,0,1617,1621
USA,202052,17,0,1,0,2430,2448
USA,202053,91,1,6,0,4015,4113
USA,202101,120,1,0,0,6022,6143
USA,202102,105,2,3,0,5043,5153
USA,202103,175,2,0,0,4629,4806
USA,202104,274,8,0,0,6274,6556
USA,202105,420,10,0,0,7275,7705
USA,202106,680,26,1,0,10946,11653
USA,202107,918,30,1,0,8235,9184
USA,202108,1614,50,1,0,9071,10736
USA,202109,2619,55,0,0,9614,12288
USA,202110,4669,89,0,0,11219,15977
USA,202111,7130,126,4,0,11062,18322
USA,202112,9181,144,4,0,10405,19734
USA,202113,12990,203,30,0,10859,24082
USA,202114,14953,206,38,0,9981,25178
USA,202115,15157,225,99,0,9376,24857
USA,202116,12531,147,172,0,6737,19587
USA,202117,13033,167,252,0,6094,19546
USA,202118,11651,149,327,0,5165,17292
USA,202119,9008,86,340,0,4082,13516
USA,202120,6311,66,409,0,3081,9867
USA,202121,4163,36,563,0,2063,6825
USA,202122,2788,12,886,0,1622,5308
USA,202123,2686,10,1377,0,1654,5727
USA,202124,2644,6,2625,0,1660,6935
USA,202125,1807,2,4165,0,1411,7385
USA,202126,1391,1,6690,0,1283,9365
USA,202127,1019,0,10921,0,1276,13216
USA,202128,767,5,16182,0,1346,18300
USA,202129,594,5,27661,0,1080,29340
USA,202130,461,2,39209,0,1169,40841
USA,202131,276,2,48236,0,1511,50025
USA,202132,85,1,35475,0,428,35989
USA,202133,54,1,36453,0,560,37068
USA,202134,22,1,36282,0,790,37095
USA,202135,23,0,40823,0,635,41481
USA,202136,7,0,41982,0,715,42704
USA,202137,7,0,38848,0,784,39639
USA,202138,3,0,33523,0,667,34193
USA,202139,0,0,33622,0,548,34170
USA,202140,0,0,36424,0,729,37153
USA,202141,1,0,31791,0,535,32327
USA,202142,2,0,32398,0,509,32909
USA,202143,2,0,33951,0,509,34462
USA,202144,1,0,33994,0,630,34625
USA,202145,1,1,37423,0,448,37873
USA,202146,1,0,33627,0,704,34332
USA,202147,0,0,25196,33,199,25428
USA,202148,2,0,30247,232,459,30940
USA,202149,1,0,27427,2012,540,29980
USA,202150,2,0,24056,16663,638,41359
USA,202151,0,0,9041,29803,685,39529
USA,202152,0,0,4017,36259,987,41263
USA,202201,0,0,976,23208,87,24271
USA,202202,0,0,97,4570,7,4674
USA,202203,0,0,1,352,1,354
