Country,Week,Gender,Alpha,Beta,Delta,Omicron BA.1,Omicron BA.2,Other_variants,Total
USA,202004,Female,0,0,0,0,0,1,1
USA,202004,Male,0,0,0,0,0,7,7
USA,202005,Female,0,0,0,0,0,3,3
USA,202005,Male,0,0,0,0,0,4,4
USA,202006,Female,0,0,0,0,0,1,1
USA,202007,Female,0,0,0,0,0,2,2
USA,202008,Male,0,0,0,0,0,1,1
USA,202009,Female,0,0,0,0,0,8,8
USA,202009,Male,0,0,0,0,0,6,6
USA,202010,Female,0,0,0,0,0,72,72
USA,202010,Male,0,0,0,0,0,75,75
USA,202011,Female,0,0,1,0,0,404,405
USA,202011,Male,0,0,0,0,0,461,461
USA,202012,Female,1,0,0,0,0,1328,1329
USA,202012,Male,0,0,0,0,0,1593,1593
USA,202013,Female,0,0,0,0,0,629,629
USA,202013,Male,0,0,0,0,0,674,674
USA,202014,Female,0,0,0,0,0,444,444
USA,202014,Male,0,0,0,0,0,479,479
USA,202015,Female,0,0,0,0,0,342,342
USA,202015,Male,0,0,0,0,0,333,333
USA,202016,Female,0,0,0,0,0,199,199
USA,202016,Male,1,0,0,0,0,214,215
USA,202017,Female,1,0,0,0,0,181,182
USA,202017,Male,4,0,0,0,0,209,213
USA,202018,Female,0,0,0,0,0,189,189
USA,202018,Male,0,0,0,0,0,210,210
USA,202019,Female,0,1,0,0,0,216,217
USA,202019,Male,0,0,0,0,0,150,150
USA,202020,Female,0,0,0,0,0,147,147
USA,202020,Male,0,0,0,0,0,108,108
USA,202021,Female,0,0,0,0,0,108,108
USA,202021,Male,1,0,0,0,0,145,146
USA,202022,Female,0,0,0,0,0,81,81
USA,202022,Male,0,0,0,0,0,122,122
USA,202023,Female,0,0,0,0,0,168,168
USA,202023,Male,0,0,0,0,0,152,152
USA,202024,Female,0,0,0,0,0,159,159
USA,202024,Male,0,0,0,0,0,161,161
USA,202025,Female,0,0,0,0,0,315,315
USA,202025,Male,0,0,0,0,0,321,321
USA,202026,Female,0,0,0,0,0,480,480
USA,202026,Male,0,0,0,0,0,370,370
USA,202027,Female,0,0,0,0,0,351,351
USA,202027,Male,0,0,0,0,0,349,349
USA,202028,Female,0,0,0,0,0,409,409
USA,202028,Male,0,0,0,0,0,381,381
USA,202029,Female,0,0,0,0,0,325,325
USA,202029,Male,0,0,0,0,0,330,330
USA,202030,Female,0,0,0,0,0,382,382
USA,202030,Male,0,0,1,0,0,440,441
USA,202031,Female,0,0,0,0,0,338,338
USA,202031,Male,0,0,0,0,0,461,461
USA,202032,Female,0,0,0,0,0,245,245
USA,202032,Male,0,0,0,0,0,307,307
USA,202033,Female,0,0,0,0,0,209,209
USA,202033,Male,0,0,0,0,0,171,171
USA,202034,Female,0,0,0,0,0,185,185
USA,202034,Male,0,0,0,0,0,278,278
USA,202035,Female,0,0,0,0,0,364,364
USA,202035,Male,0,0,0,0,0,399,399
USA,202036,Female,0,0,0,0,0,277,277
USA,202036,Male,0,0,1,0,0,284,285
USA,202036,Other,0,0,0,0,0,1,1
USA,202037,Female,0,0,0,0,0,200,200
USA,202037,Male,0,0,0,0,0,265,265
USA,202038,Female,0,0,0,0,0,215,215
USA,202038,Male,0,0,0,0,0,200,200
USA,202039,Female,0,0,0,0,0,263,263
USA,202039,Male,0,0,0,0,0,217,217
USA,202040,Female,0,0,0,0,0,321,321
USA,202040,Male,0,0,0,0,0,326,326
USA,202041,Female,0,0,0,0,0,411,411
USA,202041,Male,0,0,0,0,0,403,403
USA,202042,Female,0,0,0,0,0,344,344
USA,202042,Male,0,0,0,0,0,367,367
USA,202043,Female,1,0,0,0,0,495,496
USA,202043,Male,1,0,0,0,0,536,537
USA,202044,Female,2,0,0,0,0,707,709
USA,202044,Male,2,0,0,0,0,708,710
USA,202045,Female,0,0,1,0,0,1531,1532
USA,202045,Male,1,0,0,0,0,1449,1450
USA,202045,Other,0,0,0,0,0,1,1
USA,202046,Female,0,0,0,0,0,1593,1593
USA,202046,Male,1,0,0,0,0,1470,1471
USA,202046,Other,0,0,0,0,0,2,2
USA,202047,Female,1,0,2,0,0,1363,1366
USA,202047,Male,0,0,0,0,0,1329,1329
USA,202048,Female,2,0,0,0,0,1017,1019
USA,202048,Male,0,0,0,0,0,849,849
USA,202049,Female,0,0,1,0,0,1571,1572
USA,202049,Male,1,0,1,0,0,1452,1454
USA,202050,Female,0,0,0,0,0,1064,1064
USA,202050,Male,0,0,0,0,0,1092,1092
USA,202051,Female,1,0,1,0,0,920,922
USA,202051,Male,2,0,0,0,0,863,865
USA,202052,Female,8,0,1,0,0,1909,1918
USA,202052,Male,11,0,0,0,0,1732,1743
USA,202053,Female,55,1,2,0,0,2998,3056
USA,202053,Male,38,0,4,1,0,2588,2631
USA,202101,Female,66,1,0,2,0,4135,4204
USA,202101,Male,57,1,0,1,0,2998,3057
USA,202102,Female,58,2,1,0,0,3300,3361
USA,202102,Male,50,2,2,0,0,2738,2792
USA,202103,Female,103,1,0,0,0,3684,3788
USA,202103,Male,97,2,0,0,0,3453,3552
USA,202103,Other,0,0,0,0,0,1,1
USA,202104,Female,141,5,0,0,0,4440,4586
USA,202104,Male,152,5,0,0,0,4043,4200
USA,202105,Female,221,5,0,0,0,4405,4631
USA,202105,Male,227,7,0,0,0,4013,4247
USA,202105,Other,0,0,0,0,0,1,1
USA,202106,Female,362,14,1,0,0,5838,6215
USA,202106,Male,338,13,0,0,0,5374,5725
USA,202106,Other,0,0,0,0,0,1,1
USA,202107,Female,482,19,1,0,0,4267,4769
USA,202107,Male,449,11,0,0,0,4113,4573
USA,202107,Other,0,0,0,0,0,2,2
USA,202108,Female,836,30,1,0,0,4789,5656
USA,202108,Male,788,22,0,0,0,4436,5246
USA,202108,Other,0,0,0,0,0,3,3
USA,202109,Female,1345,37,0,0,0,4942,6324
USA,202109,Male,1290,19,0,0,0,4778,6087
USA,202109,Other,0,0,0,0,0,11,11
USA,202110,Female,2425,48,0,0,0,5729,8202
USA,202110,Male,2270,44,1,0,0,5641,7956
USA,202110,Other,1,0,0,0,0,14,15
USA,202111,Female,3626,71,2,0,0,5628,9327
USA,202111,Male,3555,63,2,0,0,5550,9170
USA,202111,Other,0,0,0,0,0,12,12
USA,202112,Female,4703,76,3,0,0,5277,10059
USA,202112,Male,4588,75,1,0,0,5277,9941
USA,202112,Other,11,0,0,0,0,19,30
USA,202113,Female,6761,119,19,0,0,5483,12382
USA,202113,Male,6418,103,12,0,0,5536,12069
USA,202113,Other,13,0,0,0,0,18,31
USA,202114,Female,7725,118,20,0,0,5121,12984
USA,202114,Male,7337,100,18,0,0,4980,12435
USA,202114,Other,3,0,0,0,0,1,4
USA,202115,Female,7954,123,37,0,0,4801,12915
USA,202115,Male,7351,115,64,0,0,4675,12205
USA,202115,Other,2,0,0,0,0,16,18
USA,202116,Female,6634,83,80,0,0,3492,10289
USA,202116,Male,6151,88,96,0,0,3366,9701
USA,202116,Other,12,0,0,0,0,23,35
USA,202117,Female,6834,87,102,0,0,3170,10193
USA,202117,Male,6427,97,156,0,0,3061,9741
USA,202117,Other,3,0,0,0,0,11,14
USA,202118,Female,6272,96,149,0,0,2745,9262
USA,202118,Male,5663,70,185,0,0,2553,8471
USA,202118,Other,11,0,0,0,0,17,28
USA,202119,Female,4903,44,170,0,0,2162,7279
USA,202119,Male,4320,51,176,0,0,2079,6626
USA,202119,Other,9,0,0,0,0,15,24
USA,202120,Female,3523,42,205,0,0,1602,5372
USA,202120,Male,2971,32,207,0,0,1609,4819
USA,202120,Other,9,0,0,0,0,16,25
USA,202121,Female,2315,15,268,0,0,1142,3740
USA,202121,Male,2032,25,308,0,0,1057,3422
USA,202121,Other,4,0,0,0,0,4,8
USA,202122,Female,1579,5,464,0,0,855,2903
USA,202122,Male,1335,11,442,0,0,893,2681
USA,202122,Other,7,0,1,0,0,4,12
USA,202123,Female,1508,8,780,0,0,913,3209
USA,202123,Male,1342,3,659,0,0,850,2854
USA,202123,Other,3,0,0,0,0,3,6
USA,202124,Female,1460,3,1419,0,0,883,3765
USA,202124,Male,1270,5,1285,0,0,857,3417
USA,202124,Other,4,0,3,0,0,3,10
USA,202125,Female,1007,4,2267,0,0,763,4041
USA,202125,Male,888,1,1994,0,0,722,3605
USA,202125,Other,3,0,4,0,0,1,8
USA,202126,Female,749,3,3701,0,0,743,5196
USA,202126,Male,711,1,3172,0,0,628,4512
USA,202126,Other,0,0,6,0,0,1,7
USA,202127,Female,572,0,5806,0,0,675,7053
USA,202127,Male,488,0,5434,0,0,693,6615
USA,202127,Other,1,0,8,0,0,1,10
USA,202128,Female,427,4,8794,0,0,705,9930
USA,202128,Male,401,2,8039,0,0,737,9179
USA,202129,Female,343,4,14914,0,0,589,15850
USA,202129,Male,330,3,13884,0,0,624,14841
USA,202129,Other,0,0,7,0,0,0,7
USA,202130,Female,282,2,21375,1,0,649,22309
USA,202130,Male,236,0,19656,0,0,602,20494
USA,202130,Other,0,0,27,0,0,1,28
USA,202131,Female,146,2,26649,0,0,790,27587
USA,202131,Male,142,0,24472,0,0,768,25382
USA,202131,Other,0,0,27,0,0,1,28
USA,202132,Female,45,1,19783,0,0,236,20065
USA,202132,Male,48,0,18079,0,0,229,18356
USA,202132,Other,0,0,3,0,0,0,3
USA,202133,Female,23,1,20118,0,0,292,20434
USA,202133,Male,32,0,18562,0,0,290,18884
USA,202133,Other,0,0,29,0,0,1,30
USA,202134,Female,17,0,19636,0,0,411,20064
USA,202134,Male,11,1,18453,0,0,396,18861
USA,202134,Other,0,0,8,0,0,0,8
USA,202135,Female,14,0,22140,0,0,318,22472
USA,202135,Male,10,0,20786,0,0,325,21121
USA,202135,Other,0,0,18,0,0,0,18
USA,202136,Female,7,0,22676,0,0,337,23020
USA,202136,Male,2,0,21233,0,0,391,21626
USA,202136,Other,0,0,31,0,0,0,31
USA,202137,Female,3,0,21015,0,0,383,21401
USA,202137,Male,3,0,19465,0,0,411,19879
USA,202137,Other,1,0,11,0,0,1,13
USA,202138,Female,1,0,17921,0,0,300,18222
USA,202138,Male,2,0,16786,0,0,371,17159
USA,202138,Other,0,0,4,0,0,0,4
USA,202139,Female,0,0,17777,1,0,253,18031
USA,202139,Male,0,0,16751,4,0,308,17063
USA,202139,Other,0,0,7,0,0,0,7
USA,202140,Female,0,0,19308,2,0,350,19660
USA,202140,Male,0,0,17994,2,0,385,18381
USA,202140,Other,0,0,4,0,0,0,4
USA,202141,Female,1,0,16827,0,0,252,17080
USA,202141,Male,0,0,15885,0,0,285,16170
USA,202141,Other,0,0,24,0,0,0,24
USA,202142,Female,1,0,17104,0,0,228,17333
USA,202142,Male,1,0,16039,0,0,281,16321
USA,202142,Other,0,0,20,0,0,0,20
USA,202143,Female,1,0,17775,0,0,231,18007
USA,202143,Male,1,0,16964,0,0,282,17247
USA,202143,Other,0,0,12,0,0,0,12
USA,202144,Female,1,0,17887,0,0,296,18184
USA,202144,Male,1,0,16797,0,0,334,17132
USA,202144,Other,0,0,4,0,0,0,4
USA,202145,Female,1,0,19328,0,0,210,19539
USA,202145,Male,0,1,18696,0,0,238,18935
USA,202145,Other,0,0,29,0,0,0,29
USA,202146,Female,0,0,17560,0,0,313,17873
USA,202146,Male,1,0,16717,0,0,391,17109
USA,202146,Other,0,0,10,0,0,0,10
USA,202147,Female,0,0,13424,12,0,97,13533
USA,202147,Male,0,0,12750,13,0,112,12875
USA,202147,Other,0,0,14,0,0,0,14
USA,202148,Female,1,0,16612,118,0,256,16987
USA,202148,Male,1,0,15543,109,0,239,15892
USA,202148,Other,0,0,23,0,0,0,23
USA,202149,Female,1,0,14905,857,0,574,16337
USA,202149,Male,0,0,14301,778,0,458,15537
USA,202149,Other,0,0,23,1,0,0,24
USA,202150,Female,1,0,13149,6264,0,3646,23060
USA,202150,Male,1,0,12417,5144,0,3244,20806
USA,202150,Other,0,0,23,3,0,3,29
USA,202151,Female,0,0,4893,9904,0,7742,22539
USA,202151,Male,0,0,4844,8363,0,6643,19850
USA,202151,Other,0,0,6,10,0,6,22
USA,202152,Female,0,0,2344,12280,1,11626,26251
USA,202152,Male,0,0,2182,9269,2,9493,20946
USA,202152,Other,0,0,7,14,0,8,29
USA,202201,Female,0,0,883,9568,6,10690,21147
USA,202201,Male,0,0,757,7634,12,8685,17088
USA,202201,Other,0,0,1,16,0,19,36
USA,202202,Female,0,0,323,7028,25,10247,17623
USA,202202,Male,0,0,327,6252,28,8934,15541
USA,202202,Other,0,0,0,4,0,11,15
USA,202203,Female,0,0,117,6961,82,13571,20731
USA,202203,Male,0,0,135,6015,86,12196,18432
USA,202203,Other,0,0,0,5,0,8,13
USA,202204,Female,0,0,64,5263,114,12014,17455
USA,202204,Male,0,0,63,4521,130,10840,15554
USA,202205,Female,0,0,19,3060,108,7185,10372
USA,202205,Male,0,0,20,2638,123,6248,9029
USA,202206,Female,0,0,4,647,27,1542,2220
USA,202206,Male,0,0,0,510,27,1333,1870
USA,202207,Female,0,0,0,27,2,55,84
USA,202207,Male,0,0,0,14,1,43,58
