Country,Week,Alpha,Beta,Delta,Omicron BA.1,Omicron BA.2,Other_variants,Total
USA,202004,0,0,0,0,0,8,8
USA,202005,0,0,0,0,0,7,7
USA,202006,0,0,0,0,0,1,1
USA,202007,0,0,0,0,0,2,2
USA,202008,0,0,0,0,0,1,1
USA,202009,0,0,0,0,0,14,14
USA,202010,0,0,0,0,0,147,147
USA,202011,0,0,1,0,0,865,866
USA,202012,1,0,0,0,0,2921,2922
USA,202013,0,0,0,0,0,1303,1303
USA,202014,0,0,0,0,0,923,923
USA,202015,0,0,0,0,0,675,675
USA,202016,1,0,0,0,0,413,414
USA,202017,5,0,0,0,0,390,395
USA,202018,0,0,0,0,0,399,399
USA,202019,0,1,0,0,0,366,367
USA,202020,0,0,0,0,0,255,255
USA,202021,1,0,0,0,0,253,254
USA,202022,0,0,0,0,0,203,203
USA,202023,0,0,0,0,0,320,320
USA,202024,0,0,0,0,0,320,320
USA,202025,0,0,0,0,0,636,636
USA,202026,0,0,0,0,0,850,850
USA,202027,0,0,0,0,0,700,700
USA,202028,0,0,0,0,0,790,790
USA,202029,0,0,0,0,0,655,655
USA,202030,0,0,1,0,0,822,823
USA,202031,0,0,0,0,0,799,799
USA,202032,0,0,0,0,0,552,552
USA,202033,0,0,0,0,0,380,380
USA,202034,0,0,0,0,0,463,463
USA,202035,0,0,0,0,0,763,763
USA,202036,0,0,1,0,0,562,563
USA,202037,0,0,0,0,0,465,465
USA,202038,0,0,0,0,0,415,415
USA,202039,0,0,0,0,0,480,480
USA,202040,0,0,0,0,0,647,647
USA,202041,0,0,0,0,0,814,814
USA,202042,0,0,0,0,0,711,711
USA,202043,2,0,0,0,0,1031,1033
USA,202044,4,0,0,0,0,1415,1419
USA,202045,1,0,1,0,0,2981,2983
USA,202046,1,0,0,0,0,3065,3066
USA,202047,1,0,2,0,0,2692,2695
USA,202048,2,0,0,0,0,1866,1868
USA,202049,1,0,2,0,0,3023,3026
USA,202050,0,0,0,0,0,2156,2156
USA,202051,3,0,1,0,0,1783,1787
USA,202052,19,0,1,0,0,3641,3661
USA,202053,93,1,6,1,0,5586,5687
USA,202101,123,2,0,3,0,7133,7261
USA,202102,108,4,3,0,0,6038,6153
USA,202103,200,3,0,0,0,7138,7341
USA,202104,293,10,0,0,0,8483,8786
USA,202105,448,12,0,0,0,8419,8879
USA,202106,700,27,1,0,0,11213,11941
USA,202107,931,30,1,0,0,8382,9344
USA,202108,1624,52,1,0,0,9228,10905
USA,202109,2635,56,0,0,0,9731,12422
USA,202110,4696,92,1,0,0,11384,16173
USA,202111,7181,134,4,0,0,11190,18509
USA,202112,9302,151,4,0,0,10573,20030
USA,202113,13192,222,31,0,0,11037,24482
USA,202114,15065,218,38,0,0,10102,25423
USA,202115,15307,238,101,0,0,9492,25138
USA,202116,12797,171,176,0,0,6881,20025
USA,202117,13264,184,258,0,0,6242,19948
USA,202118,11946,166,334,0,0,5315,17761
USA,202119,9232,95,346,0,0,4256,13929
USA,202120,6503,74,412,0,0,3227,10216
USA,202121,4351,40,576,0,0,2203,7170
USA,202122,2921,16,907,0,0,1752,5596
USA,202123,2853,11,1439,0,0,1766,6069
USA,202124,2734,8,2707,0,0,1743,7192
USA,202125,1898,5,4265,0,0,1486,7654
USA,202126,1460,4,6879,0,0,1372,9715
USA,202127,1061,0,11248,0,0,1369,13678
USA,202128,828,6,16833,0,0,1442,19109
USA,202129,673,7,28805,0,0,1213,30698
USA,202130,518,2,41058,1,0,1252,42831
USA,202131,288,2,51148,0,0,1559,52997
USA,202132,93,1,37865,0,0,465,38424
USA,202133,55,1,38709,0,0,583,39348
USA,202134,28,1,38097,0,0,807,38933
USA,202135,24,0,42944,0,0,643,43611
USA,202136,9,0,43940,0,0,728,44677
USA,202137,7,0,40491,0,0,795,41293
USA,202138,3,0,34711,0,0,671,35385
USA,202139,0,0,34535,5,0,561,35101
USA,202140,0,0,37306,4,0,735,38045
USA,202141,1,0,32736,0,0,537,33274
USA,202142,2,0,33163,0,0,509,33674
USA,202143,2,0,34751,0,0,513,35266
USA,202144,2,0,34688,0,0,630,35320
USA,202145,1,1,38053,0,0,448,38503
USA,202146,1,0,34287,0,0,704,34992
USA,202147,0,0,26188,25,0,209,26422
USA,202148,2,0,32178,227,0,495,32902
USA,202149,1,0,29229,1636,0,1032,31898
USA,202150,2,0,25589,11411,0,6893,43895
USA,202151,0,0,9743,18277,0,14391,42411
USA,202152,0,0,4533,21563,3,21127,47226
USA,202201,0,0,1641,17218,18,19394,38271
USA,202202,0,0,650,13284,53,19192,33179
USA,202203,0,0,252,12981,168,25775,39176
USA,202204,0,0,127,9784,244,22854,33009
USA,202205,0,0,39,5698,231,13433,19401
USA,202206,0,0,4,1157,54,2875,4090
USA,202207,0,0,0,41,3,98,142
