Country,Week,Alpha,Beta,Delta,Omicron BA.1,Omicron BA.2,Other_variants,Total
USA,202001,0,0,0,0,0,10,10
USA,202004,0,0,0,0,0,11,11
USA,202005,0,0,0,0,0,11,11
USA,202006,0,0,0,0,0,3,3
USA,202007,0,0,0,0,0,2,2
USA,202008,0,0,0,0,0,28,28
USA,202009,0,0,0,0,0,86,86
USA,202010,0,0,0,0,0,451,451
USA,202011,0,0,1,0,0,2130,2131
USA,202012,1,0,0,0,0,4932,4933
USA,202013,0,0,0,0,0,4195,4195
USA,202014,0,0,0,0,0,4342,4342
USA,202015,1,0,0,0,0,3238,3239
USA,202016,4,0,0,0,0,2902,2906
USA,202017,6,0,0,0,0,2825,2831
USA,202018,0,0,0,0,0,3283,3283
USA,202019,0,1,0,0,0,2683,2684
USA,202020,0,0,0,0,0,2557,2557
USA,202021,1,0,0,0,0,2202,2203
USA,202022,0,0,0,0,0,1982,1982
USA,202023,0,0,0,0,0,2098,2098
USA,202024,0,0,0,0,0,2251,2251
USA,202025,0,0,0,0,0,3558,3558
USA,202026,0,0,0,0,0,4217,4217
USA,202027,0,0,0,0,0,4366,4366
USA,202028,8,0,0,0,0,4932,4940
USA,202029,0,0,0,0,0,5192,5192
USA,202030,1,0,1,0,0,4457,4459
USA,202031,7,0,3,0,0,3725,3735
USA,202032,0,0,0,0,0,3161,3161
USA,202033,0,0,0,0,0,2856,2856
USA,202034,0,0,0,0,0,2531,2531
USA,202035,0,0,0,0,0,2586,2586
USA,202036,0,0,2,0,0,2336,2338
USA,202037,0,0,1,0,0,2324,2325
USA,202038,0,0,0,0,0,2684,2684
USA,202039,0,0,0,0,0,2787,2787
USA,202040,0,0,0,0,0,2732,2732
USA,202041,0,0,2,0,0,4124,4126
USA,202042,0,0,0,0,0,3760,3760
USA,202043,2,0,0,0,0,4628,4630
USA,202044,4,0,0,0,0,5202,5206
USA,202045,3,0,1,0,0,9063,9067
USA,202046,2,0,0,0,0,7268,7270
USA,202047,2,0,2,0,0,6871,6875
USA,202048,4,0,0,0,0,4965,4969
USA,202049,1,0,2,0,0,8871,8874
USA,202050,2,0,0,0,0,9032,9034
USA,202051,9,0,2,0,0,10881,10892
USA,202052,28,0,1,0,0,8269,8298
USA,202053,120,2,10,2,0,12194,12328
USA,202101,198,4,8,5,0,18785,19000
USA,202102,247,6,25,0,0,19060,19338
USA,202103,385,4,3,1,0,18458,18851
USA,202104,621,19,3,3,0,16482,17128
USA,202105,957,21,3,1,0,17047,18029
USA,202106,1598,37,4,0,0,19901,21540
USA,202107,1819,44,1,0,0,15640,17504
USA,202108,3329,77,2,0,0,16189,19597
USA,202109,4687,90,2,1,0,17043,21823
USA,202110,7214,137,3,0,0,17101,24455
USA,202111,10950,183,5,0,0,17239,28377
USA,202112,14749,229,5,0,0,16987,31970
USA,202113,20244,304,35,0,0,17098,37681
USA,202114,23882,316,57,0,0,16066,40321
USA,202115,25027,360,161,0,0,15464,41012
USA,202116,22067,265,323,0,0,12239,34894
USA,202117,22879,288,493,0,0,11380,35040
USA,202118,20034,255,629,0,0,9616,30534
USA,202119,15070,145,625,0,0,7435,23275
USA,202120,11456,144,842,0,0,5970,18412
USA,202121,7400,68,1073,0,0,3988,12529
USA,202122,5028,28,1662,0,0,3134,9852
USA,202123,4823,24,2919,0,0,2998,10764
USA,202124,3915,11,4373,0,0,2626,10925
USA,202125,2847,6,7095,0,0,2323,12271
USA,202126,2237,11,11111,0,0,2198,15557
USA,202127,1719,4,19013,0,0,2248,22984
USA,202128,1376,8,30715,0,0,2381,34480
USA,202129,1015,9,48765,0,0,2059,51848
USA,202130,752,3,66621,1,0,1935,69312
USA,202131,404,2,78469,0,0,2148,81023
USA,202132,170,1,66500,0,0,868,67539
USA,202133,100,1,64614,0,0,1107,65822
USA,202134,45,1,65503,0,0,1189,66738
USA,202135,36,1,69634,0,0,1235,70906
USA,202136,16,0,69383,0,0,1538,70937
USA,202137,36,0,64396,0,0,1749,66181
USA,202138,3,2,56436,0,0,1299,57740
USA,202139,2,0,55345,5,0,1010,56362
USA,202140,4,0,57126,4,0,1124,58258
USA,202141,2,0,51742,1,0,817,52562
USA,202142,3,0,51895,0,0,1055,52953
USA,202143,2,0,53730,3,0,1036,54771
USA,202144,2,0,57518,0,0,922,58442
USA,202145,2,1,61852,0,0,727,62582
USA,202146,2,0,56113,0,0,963,57078
USA,202147,0,0,45986,37,0,514,46537
USA,202148,3,0,64480,363,0,931,65777
USA,202149,1,1,55735,2592,0,1912,60241
USA,202150,2,0,41690,17143,1,10177,69013
USA,202151,0,0,17219,30299,4,22603,70125
USA,202152,0,0,8415,38504,7,33558,80484
USA,202201,0,0,3606,41146,55,39432,84239
USA,202202,0,0,1380,29727,145,36517,67769
USA,202203,0,0,523,24859,305,38395,64082
USA,202204,0,0,264,20520,458,33037,54279
USA,202205,0,0,112,11992,430,19960,32494
USA,202206,0,0,11,4919,352,5034,10316
USA,202207,0,0,0,59,10,159,228
