Country,Week,Age_group,Alpha,Beta,Delta,Omicron,Other_variants,Total
ZAF,202010,30 – 40,0,0,0,0,2,2
ZAF,202011,10 – 20,0,0,0,0,1,1
ZAF,202011,30 – 40,0,0,0,0,1,1
ZAF,202012,20 – 30,0,0,0,0,2,2
ZAF,202012,30 – 40,0,0,0,0,12,12
ZAF,202012,40 – 50,0,0,0,0,2,2
ZAF,202012,60 – 70,0,0,0,0,3,3
ZAF,202013,20 – 30,0,0,0,0,6,6
ZAF,202013,30 – 40,0,0,0,0,9,9
ZAF,202013,40 – 50,0,0,0,0,4,4
ZAF,202013,50 – 60,0,0,0,0,5,5
ZAF,202013,60 – 70,0,0,0,0,2,2
ZAF,202013,70 – 80,0,0,0,0,2,2
ZAF,202013,>= 80,0,0,0,0,2,2
ZAF,202014,20 – 30,0,0,0,0,6,6
ZAF,202014,30 – 40,0,0,0,0,13,13
ZAF,202014,40 – 50,0,0,0,0,10,10
ZAF,202014,50 – 60,0,0,0,0,5,5
ZAF,202014,60 – 70,0,0,0,0,7,7
ZAF,202014,70 – 80,0,0,0,0,3,3
ZAF,202014,>= 80,0,0,0,0,6,6
ZAF,202015,10 – 20,0,0,0,0,3,3
ZAF,202015,20 – 30,0,0,0,0,17,17
ZAF,202015,30 – 40,0,0,0,0,4,4
ZAF,202015,40 – 50,0,0,0,0,6,6
ZAF,202015,5 – 10,0,0,0,0,1,1
ZAF,202015,50 – 60,0,0,0,0,5,5
ZAF,202015,60 – 70,0,0,0,0,2,2
ZAF,202015,70 – 80,0,0,0,0,3,3
ZAF,202015,>= 80,0,0,0,0,2,2
ZAF,202016,1 – 5,0,0,0,0,2,2
ZAF,202016,10 – 20,0,0,0,0,4,4
ZAF,202016,20 – 30,0,0,0,0,15,15
ZAF,202016,30 – 40,0,0,0,0,13,13
ZAF,202016,40 – 50,0,0,0,0,11,11
ZAF,202016,50 – 60,0,0,0,0,7,7
ZAF,202016,60 – 70,0,0,0,0,2,2
ZAF,202016,70 – 80,0,0,0,0,1,1
ZAF,202016,< 1,0,0,0,0,1,1
ZAF,202017,10 – 20,0,0,0,0,5,5
ZAF,202017,20 – 30,0,0,0,0,18,18
ZAF,202017,30 – 40,0,0,0,0,14,14
ZAF,202017,40 – 50,0,0,0,0,13,13
ZAF,202017,50 – 60,0,0,0,0,11,11
ZAF,202017,60 – 70,0,0,0,0,4,4
ZAF,202017,70 – 80,0,0,0,0,2,2
ZAF,202018,20 – 30,0,0,0,0,11,11
ZAF,202018,30 – 40,0,0,0,0,12,12
ZAF,202018,40 – 50,0,0,0,0,4,4
ZAF,202018,50 – 60,0,0,0,0,1,1
