Country,Week,Alpha,Beta,Delta,Omicron BA.1,Omicron BA.2,Other_variants,Total
ZAF,202010,0,0,0,0,0,2,2
ZAF,202011,0,0,0,0,0,2,2
ZAF,202012,0,0,0,0,0,19,19
ZAF,202013,0,0,0,0,0,30,30
ZAF,202014,0,0,0,0,0,50,50
ZAF,202015,0,0,0,0,0,43,43
ZAF,202016,0,0,0,0,0,56,56
ZAF,202017,0,0,0,0,0,67,67
ZAF,202018,0,0,0,0,0,29,29
ZAF,202019,0,0,0,0,0,100,100
ZAF,202020,0,0,0,0,0,45,45
ZAF,202021,0,0,0,0,0,36,36
ZAF,202022,0,0,0,0,0,50,50
ZAF,202023,0,0,0,0,0,59,59
ZAF,202024,0,0,0,0,0,52,52
ZAF,202025,0,0,0,0,0,127,127
ZAF,202026,0,2,1,0,0,101,104
ZAF,202027,0,0,0,0,0,177,177
ZAF,202028,0,0,0,0,0,158,158
ZAF,202029,0,0,0,0,0,291,291
ZAF,202030,0,0,0,0,0,243,243
ZAF,202031,0,0,0,0,0,280,280
ZAF,202032,0,0,0,0,0,93,93
ZAF,202033,0,0,0,0,0,132,132
ZAF,202034,0,1,0,0,0,67,68
ZAF,202035,0,1,0,0,0,56,57
ZAF,202036,0,1,0,0,0,132,133
ZAF,202037,0,0,0,0,0,159,159
ZAF,202038,0,5,0,0,0,107,112
ZAF,202039,0,4,0,0,0,73,77
ZAF,202040,0,27,0,0,0,88,115
ZAF,202041,0,21,0,0,0,163,184
ZAF,202042,0,51,0,0,0,115,166
ZAF,202043,0,55,0,0,0,135,190
ZAF,202044,0,68,0,0,0,149,217
ZAF,202045,0,86,0,0,0,116,202
ZAF,202046,0,83,0,0,0,58,141
ZAF,202047,0,146,0,0,0,105,251
ZAF,202048,0,176,0,0,0,43,219
ZAF,202049,0,197,0,0,0,29,226
ZAF,202050,0,211,0,0,0,20,231
ZAF,202051,0,279,0,1,0,22,302
ZAF,202052,0,372,2,0,0,37,411
ZAF,202053,0,410,0,0,0,47,457
ZAF,202101,3,545,0,0,0,100,648
ZAF,202102,0,329,0,0,0,39,368
ZAF,202103,0,187,1,0,0,26,214
ZAF,202104,0,174,0,0,0,20,194
ZAF,202105,0,175,0,0,0,10,185
ZAF,202106,2,112,0,0,0,11,125
ZAF,202107,0,128,0,0,0,20,148
ZAF,202108,2,88,1,0,0,7,98
ZAF,202109,1,125,0,0,0,6,132
ZAF,202110,3,206,4,0,0,24,237
ZAF,202111,2,134,9,0,0,56,201
ZAF,202112,2,132,4,0,0,30,168
ZAF,202113,1,108,8,0,0,27,144
ZAF,202114,0,88,0,0,0,10,98
ZAF,202115,2,98,6,0,0,21,127
ZAF,202116,3,165,2,0,0,59,229
ZAF,202117,11,112,3,0,0,23,149
ZAF,202118,8,219,21,0,0,41,289
ZAF,202119,15,176,22,0,0,44,257
ZAF,202120,19,190,33,0,0,42,284
ZAF,202121,21,195,81,0,0,56,353
ZAF,202122,31,222,197,0,0,86,536
ZAF,202123,17,178,263,0,0,74,532
ZAF,202124,28,98,481,0,0,98,705
ZAF,202125,18,72,649,0,0,82,821
ZAF,202126,17,64,903,0,0,122,1106
ZAF,202127,1,33,928,0,0,111,1073
ZAF,202128,0,18,805,0,0,53,876
ZAF,202129,5,7,690,0,0,68,770
ZAF,202130,2,7,732,0,0,52,793
ZAF,202131,0,6,675,0,0,54,735
ZAF,202132,0,0,544,0,0,19,563
ZAF,202133,0,1,538,0,0,20,559
ZAF,202134,0,1,445,0,0,34,480
ZAF,202135,0,1,579,0,0,34,614
ZAF,202136,0,0,424,0,0,42,466
ZAF,202137,0,0,387,0,0,49,436
ZAF,202138,0,5,310,0,0,34,349
ZAF,202139,0,2,190,1,0,16,209
ZAF,202140,0,52,223,0,0,16,291
ZAF,202141,0,5,207,1,0,22,235
ZAF,202142,0,5,129,0,0,9,143
ZAF,202143,0,2,92,2,0,10,106
ZAF,202144,0,3,48,2,0,3,56
ZAF,202145,0,0,33,15,0,7,55
ZAF,202146,0,1,39,220,1,22,283
ZAF,202147,0,0,42,601,3,61,707
ZAF,202148,0,1,15,1137,3,122,1278
ZAF,202149,0,0,4,726,25,56,811
ZAF,202150,0,0,1,603,29,68,701
ZAF,202151,0,0,2,505,35,79,621
ZAF,202152,0,0,0,290,72,58,420
ZAF,202201,0,0,1,392,127,86,606
ZAF,202202,0,0,2,166,116,42,326
ZAF,202203,0,0,1,164,152,65,382
ZAF,202204,0,0,1,48,62,6,117
ZAF,202205,0,0,0,10,30,0,40
ZAF,202206,0,0,0,0,1,0,1
