Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
ZAF,202010,0,0,0,0,2,2
ZAF,202011,0,0,0,0,2,2
ZAF,202012,0,0,0,0,19,19
ZAF,202013,0,0,0,0,31,31
ZAF,202014,0,0,0,0,52,52
ZAF,202015,0,0,0,0,43,43
ZAF,202016,0,0,0,0,56,56
ZAF,202017,0,0,0,0,67,67
ZAF,202018,0,0,0,0,30,30
ZAF,202019,0,0,0,0,101,101
ZAF,202020,0,0,0,0,28,28
ZAF,202021,0,0,0,0,38,38
ZAF,202022,0,0,0,0,46,46
ZAF,202023,0,0,0,0,55,55
ZAF,202024,0,0,0,0,41,41
ZAF,202025,0,0,0,0,134,134
ZAF,202026,0,2,1,0,104,107
ZAF,202027,0,0,0,0,145,145
ZAF,202028,0,0,0,0,146,146
ZAF,202029,0,0,0,0,254,254
ZAF,202030,0,0,0,0,218,218
ZAF,202031,0,0,0,0,238,238
ZAF,202032,0,0,0,0,93,93
ZAF,202033,0,0,0,0,131,131
ZAF,202034,0,1,0,0,65,66
ZAF,202035,0,1,0,0,56,57
ZAF,202036,0,1,0,0,133,134
ZAF,202037,0,0,0,0,159,159
ZAF,202038,0,29,0,0,109,138
ZAF,202039,0,17,0,0,73,90
ZAF,202040,0,27,0,0,87,114
ZAF,202041,0,21,0,0,165,186
ZAF,202042,0,52,0,0,114,166
ZAF,202043,0,55,0,0,136,191
ZAF,202044,0,84,0,0,149,233
ZAF,202045,0,130,0,0,118,248
ZAF,202046,0,92,0,0,58,150
ZAF,202047,0,156,0,0,106,262
ZAF,202048,0,188,0,0,45,233
ZAF,202049,0,199,0,0,31,230
ZAF,202050,0,212,0,0,21,233
ZAF,202051,0,281,0,0,24,305
ZAF,202052,0,378,2,0,37,417
ZAF,202053,0,396,0,0,46,442
ZAF,202101,3,472,0,0,98,573
ZAF,202102,0,327,0,0,39,366
ZAF,202103,0,189,1,0,26,216
ZAF,202104,0,174,0,0,21,195
ZAF,202105,0,183,0,0,10,193
ZAF,202106,2,126,0,0,11,139
ZAF,202107,0,135,0,0,21,156
ZAF,202108,2,88,1,0,6,97
ZAF,202109,1,124,0,0,7,132
ZAF,202110,4,194,4,0,27,229
ZAF,202111,2,136,8,0,55,201
ZAF,202112,2,137,3,0,29,171
ZAF,202113,1,101,8,0,25,135
ZAF,202114,0,89,0,0,10,99
ZAF,202115,2,103,5,0,23,133
ZAF,202116,3,165,2,0,62,232
ZAF,202117,11,118,3,0,24,156
ZAF,202118,8,218,21,0,41,288
ZAF,202119,16,179,22,0,43,260
ZAF,202120,20,192,32,0,41,285
ZAF,202121,21,197,82,0,53,353
ZAF,202122,30,228,200,0,81,539
ZAF,202123,17,182,268,0,72,539
ZAF,202124,28,101,498,0,101,728
ZAF,202125,16,76,681,0,83,856
ZAF,202126,16,64,897,0,124,1101
ZAF,202127,2,31,953,0,116,1102
ZAF,202128,0,18,846,0,57,921
ZAF,202129,5,6,714,0,70,795
ZAF,202130,2,8,871,0,61,942
ZAF,202131,0,6,687,0,56,749
ZAF,202132,0,4,605,0,22,631
ZAF,202133,0,2,672,0,28,702
ZAF,202134,0,3,564,0,43,610
ZAF,202135,0,2,619,0,38,659
ZAF,202136,0,0,439,0,41,480
ZAF,202137,0,0,389,0,48,437
ZAF,202138,0,6,313,0,34,353
ZAF,202139,0,2,197,0,17,216
ZAF,202140,0,52,223,0,15,290
ZAF,202141,0,5,205,0,24,234
ZAF,202142,0,5,123,0,9,137
ZAF,202143,0,2,91,0,12,105
ZAF,202144,0,3,48,2,3,56
ZAF,202145,0,1,34,15,6,56
ZAF,202146,0,1,37,235,6,279
ZAF,202147,0,0,40,658,17,715
ZAF,202148,0,2,15,1352,14,1383
ZAF,202149,0,0,4,1071,9,1084
ZAF,202150,0,0,1,797,1,799
ZAF,202151,0,0,3,776,2,781
ZAF,202152,0,0,0,524,2,526
ZAF,202201,0,1,1,779,2,783
ZAF,202202,0,0,1,549,4,554
ZAF,202203,0,0,1,635,9,645
ZAF,202204,0,1,2,364,7,374
ZAF,202205,0,1,0,206,1,208
ZAF,202206,0,0,1,171,4,176
ZAF,202207,1,0,1,74,2,78
ZAF,202208,0,0,1,44,0,45
ZAF,202209,0,0,0,16,0,16
ZAF,202210,0,0,0,1,0,1
