Country,Week,Alpha,Beta,Delta,Omicron BA.1,Omicron BA.2,Other_variants,Total
ZAF,202010,0,0,0,0,0,2,2
ZAF,202011,0,0,0,0,0,2,2
ZAF,202012,0,0,0,0,0,19,19
ZAF,202013,0,0,0,0,0,31,31
ZAF,202014,0,0,0,0,0,63,63
ZAF,202015,0,0,0,0,0,43,43
ZAF,202016,0,0,0,0,0,57,57
ZAF,202017,0,0,0,0,0,68,68
ZAF,202018,0,0,0,0,0,33,33
ZAF,202019,0,0,0,0,0,102,102
ZAF,202020,0,0,0,0,0,45,45
ZAF,202021,0,0,0,0,0,39,39
ZAF,202022,0,0,0,0,0,52,52
ZAF,202023,0,0,0,0,0,61,61
ZAF,202024,0,0,0,0,0,53,53
ZAF,202025,0,0,0,0,0,137,137
ZAF,202026,0,2,1,0,0,105,108
ZAF,202027,0,0,0,0,0,182,182
ZAF,202028,0,0,0,0,0,162,162
ZAF,202029,0,0,0,0,0,298,298
ZAF,202030,0,0,0,0,0,261,261
ZAF,202031,0,0,0,0,0,293,293
ZAF,202032,0,0,0,0,0,94,94
ZAF,202033,0,0,0,0,0,133,133
ZAF,202034,0,2,0,0,0,71,73
ZAF,202035,0,1,0,0,0,64,65
ZAF,202036,0,6,0,0,0,146,152
ZAF,202037,0,17,0,0,0,167,184
ZAF,202038,0,37,0,0,0,110,147
ZAF,202039,0,18,0,0,0,75,93
ZAF,202040,0,27,0,0,0,89,116
ZAF,202041,0,21,0,0,0,167,188
ZAF,202042,0,53,0,0,0,115,168
ZAF,202043,0,55,0,0,0,136,191
ZAF,202044,0,85,0,0,0,150,235
ZAF,202045,0,131,0,0,0,123,254
ZAF,202046,0,92,0,0,0,59,151
ZAF,202047,0,167,0,0,0,107,274
ZAF,202048,0,189,0,0,0,45,234
ZAF,202049,0,201,0,0,0,31,232
ZAF,202050,0,225,0,0,0,21,246
ZAF,202051,0,308,0,1,0,25,334
ZAF,202052,0,395,2,0,0,40,437
ZAF,202053,0,430,0,0,0,48,478
ZAF,202101,3,549,0,0,0,101,653
ZAF,202102,0,341,0,0,0,39,380
ZAF,202103,0,190,1,0,0,27,218
ZAF,202104,0,176,0,0,0,21,197
ZAF,202105,0,193,0,0,0,10,203
ZAF,202106,2,115,0,0,0,11,128
ZAF,202107,0,132,0,0,0,20,152
ZAF,202108,2,90,1,0,0,7,100
ZAF,202109,1,128,0,0,0,6,135
ZAF,202110,3,210,4,0,0,24,241
ZAF,202111,7,136,10,0,0,57,210
ZAF,202112,4,137,4,0,0,30,175
ZAF,202113,2,112,8,0,0,27,149
ZAF,202114,0,93,0,0,0,10,103
ZAF,202115,2,103,6,0,0,23,134
ZAF,202116,3,167,2,0,0,62,234
ZAF,202117,13,119,3,0,0,24,159
ZAF,202118,8,219,21,0,0,41,289
ZAF,202119,16,179,22,0,0,45,262
ZAF,202120,19,191,33,0,0,42,285
ZAF,202121,21,196,83,0,0,57,357
ZAF,202122,32,228,200,0,0,88,548
ZAF,202123,18,185,272,0,0,80,555
ZAF,202124,29,100,493,0,0,100,722
ZAF,202125,19,74,660,0,0,84,837
ZAF,202126,17,64,930,0,0,125,1136
ZAF,202127,1,33,988,0,0,120,1142
ZAF,202128,0,18,865,0,0,58,941
ZAF,202129,5,7,727,0,0,72,811
ZAF,202130,2,7,804,0,0,61,874
ZAF,202131,0,6,686,0,0,57,749
ZAF,202132,0,0,562,0,0,19,581
ZAF,202133,0,2,630,0,0,24,656
ZAF,202134,1,3,562,0,0,44,610
ZAF,202135,0,2,625,0,0,39,666
ZAF,202136,0,0,444,0,0,43,487
ZAF,202137,0,0,388,0,0,49,437
ZAF,202138,0,5,312,0,0,34,351
ZAF,202139,0,2,194,1,0,16,213
ZAF,202140,0,52,225,0,0,16,293
ZAF,202141,0,5,210,1,0,22,238
ZAF,202142,0,5,132,0,0,9,146
ZAF,202143,0,2,92,2,0,10,106
ZAF,202144,0,3,49,2,0,3,57
ZAF,202145,0,1,35,20,0,7,63
ZAF,202146,0,1,39,236,1,22,299
ZAF,202147,0,0,43,613,3,62,721
ZAF,202148,0,2,15,1199,3,126,1345
ZAF,202149,0,0,4,739,25,61,829
ZAF,202150,0,0,1,610,29,70,710
ZAF,202151,0,0,2,516,35,79,632
ZAF,202152,0,0,1,301,72,60,434
ZAF,202201,0,0,1,403,129,87,620
ZAF,202202,0,0,2,174,119,42,337
ZAF,202203,0,0,1,169,162,66,398
ZAF,202204,0,0,1,49,79,10,139
ZAF,202205,0,0,0,11,31,0,42
ZAF,202206,0,0,0,0,1,0,1
