Country,N,Virus name,Type,Accession ID,Collection date,Location,Additional location information,Sequence length,Host,Patient age,Gender,Clade,Pango lineage,Pangolin version,Variant,AA Substitutions,Submission date,Is reference?,Is complete?,Is high coverage?,Is low coverage?,N-Content,GC-Content,Patient age lower
ARG,17020,100.0,100.0,100.0,100.0,100.0,0.9341950646298472,100.0,100.0,65.82256169212691,100.0,100.0,100.0,100.0,57.19153936545241,100.0,100.0,0.0,71.57461809635723,61.18096357226792,3.7132784958871916,56.93889541715629,100.0,67.7614571092832
AUS,68140,100.0,100.0,100.0,100.0,100.0,0.011740534194305841,100.0,100.0,40.09539184032874,100.0,99.9985324332257,99.9985324332257,100.0,70.57235104197241,100.0,100.0,0.0,97.5447607866158,49.115057235104196,14.69327854417376,73.66891693572057,100.0,40.09539184032874
AUT,86764,100.0,100.0,100.0,100.0,100.0,0.10372965746162002,100.0,100.0,15.197547369876908,100.0,100.0,100.0,100.0,17.466921764787237,100.0,100.0,0.0,20.783965700059934,29.754275966990917,63.60817850721497,77.33852749988475,100.0,15.197547369876908
BEL,89938,100.0,100.0,100.0,100.0,100.0,89.70290644666326,100.0,100.0,89.49609731148124,100.0,100.0,100.0,100.0,90.38559896817807,100.0,100.0,0.0,99.7620583068336,60.801885743512194,5.223598478952167,64.40659120727612,100.0,89.94529564811315
BOL,249,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,79.51807228915662,100.0,100.0,100.0,100.0,48.59437751004016,100.0,100.0,0.0,100.0,81.52610441767068,5.622489959839357,31.325301204819276,100.0,79.51807228915662
BRA,114386,100.0,100.0,100.0,100.0,100.0,0.3488189114052419,100.0,100.0,65.59893693284143,100.0,100.0,100.0,100.0,92.37494098928191,100.0,100.0,0.0,99.53228541954435,70.90553039707656,5.150105782176141,59.05268127218366,100.0,65.65576206878464
CAN,280058,100.0,100.0,100.0,100.0,100.0,0.006070171178827243,100.0,100.0,21.99330138756972,100.0,99.99928586221425,99.99928586221425,100.0,78.3673381942312,100.0,100.0,0.0,99.21266309121683,70.6171578744403,3.3346663905333895,43.604896128659064,100.0,54.699740767983776
CHL,21533,100.0,100.0,100.0,100.0,100.0,0.1439650768587749,100.0,100.0,98.3652997724423,100.0,100.0,100.0,100.0,88.05554265545906,100.0,100.0,0.0,97.08354618492547,56.24854873914457,7.648725212464589,56.397157850740726,100.0,98.3652997724423
COL,14649,100.0,100.0,100.0,100.0,100.0,0.16383370878558262,100.0,100.0,97.14656290531777,99.91125674107448,100.0,100.0,100.0,86.06048194416002,100.0,100.0,0.0,99.6245477506997,21.50317427810772,40.06416820260769,94.73684210526316,100.0,97.52884155915079
EST,9425,100.0,100.0,100.0,100.0,100.0,0.010610079575596816,100.0,100.0,95.09814323607426,100.0,100.0,100.0,100.0,86.37665782493369,100.0,100.0,0.0,99.03448275862068,84.53050397877985,1.7612732095490715,77.72944297082228,100.0,95.09814323607426
FRA,236643,100.0,100.0,100.0,100.0,100.0,0.0718381697324662,100.0,100.0,76.86134810664166,99.96619380247884,99.99873226759296,99.99873226759296,100.0,86.36553796224693,100.0,100.0,0.0,98.16728151688409,55.42990918810191,9.722239829616765,69.90487781172483,100.0,76.8626158390487
DEU,415310,100.0,100.0,100.0,100.0,100.0,0.9578387228817028,100.0,100.0,3.4193734800510462,100.0,99.99831451205124,99.99831451205124,99.99975921600732,91.5065854421998,100.0,100.0,0.0,99.97712552069538,62.351255688521825,1.5826731838867352,80.16517781897859,100.0,3.426356215838771
GRC,13525,100.0,100.0,100.0,100.0,100.0,0.029574861367837338,100.0,100.0,9.707948243992606,100.0,100.0,100.0,100.0,79.04621072088725,100.0,100.0,0.0,99.24584103512015,67.48243992606285,6.048059149722736,75.5268022181146,100.0,9.707948243992606
HND,231,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,51.515151515151516,100.0,100.0,0.0,100.0,63.2034632034632,4.761904761904762,38.96103896103896,100.0,100.0
IND,134502,100.0,100.0,100.0,100.0,100.0,3.082482044876656,100.0,100.0,81.87684941487859,99.98513033263445,99.99702606652689,99.99702606652689,100.0,75.61523248724926,100.0,100.0,0.0,99.22157291341392,43.10642220933518,22.530519992267774,87.11097232754904,100.0,81.99283282032981
IDN,19226,100.0,100.0,100.0,100.0,100.0,7.911161968168106,100.0,100.0,97.53978986788724,100.0,100.0,100.0,100.0,77.39519400811402,100.0,100.0,0.0,99.45386455841049,49.708727764485594,7.677103921772599,59.409133465099345,100.0,97.54499115780713
IRL,56032,100.0,100.0,100.0,100.0,100.0,0.0035693889206167904,100.0,100.0,3.335593946316391,100.0,100.0,100.0,100.0,93.42161621930326,100.0,100.0,0.0,98.53655054254712,63.24957167332953,10.815248429468875,91.84751570531125,100.0,75.62464306110793
ISR,51091,100.0,100.0,100.0,100.0,100.0,0.003914583781879392,100.0,100.0,34.56968937777691,100.0,100.0,100.0,100.0,85.49646708813685,100.0,100.0,0.0,98.22082167113582,32.81595584349494,32.792468340803666,93.80125658139399,100.0,36.16292497700182
ITA,104371,100.0,100.0,100.0,100.0,100.0,0.8824290272202049,100.0,100.0,53.321324889097546,99.99808375889855,99.99233503559418,99.99233503559418,100.0,82.31117839246534,100.0,100.0,0.0,97.4293625623976,70.30401165074589,6.854394419905913,75.34085138592138,100.0,58.41086125456305
JPN,201639,100.0,100.0,100.0,100.0,100.0,2.5258010603107532,100.0,100.0,3.989307624021147,100.0,99.99900812838786,99.99900812838786,99.99900812838786,78.9653787213783,100.0,100.0,0.0,99.985617861624,90.90354544507758,0.03273176320057132,10.77718100169114,100.0,4.032949974955242
KEN,6454,100.0,100.0,100.0,100.0,100.0,8.738766656337155,100.0,100.0,86.03966532383018,99.82956306166719,100.0,100.0,100.0,64.70405949798574,100.0,100.0,0.0,99.76758599318252,16.87325689494887,37.26371242640223,91.95847536411527,100.0,86.03966532383018
KWT,602,100.0,100.0,100.0,100.0,100.0,3.654485049833887,100.0,100.0,98.17275747508306,100.0,100.0,100.0,100.0,54.651162790697676,100.0,100.0,0.0,91.0299003322259,53.32225913621262,27.242524916943523,45.84717607973422,100.0,98.17275747508306
LAO,36,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,94.44444444444444,0.0,0.0,100.0,100.0
MWI,972,100.0,100.0,100.0,100.0,100.0,27.469135802469136,100.0,100.0,56.89300411522634,100.0,100.0,100.0,100.0,89.40329218106996,100.0,100.0,0.0,99.58847736625515,17.695473251028808,33.641975308641975,95.57613168724279,100.0,56.89300411522634
MYS,9317,100.0,100.0,100.0,100.0,100.0,1.0840399270151335,100.0,100.0,92.13266072770205,100.0,100.0,100.0,100.0,82.67682730492648,100.0,100.0,0.0,99.53847805087474,76.78437265214124,6.214446710314479,40.420736288504884,100.0,92.14339379628636
NPL,1654,100.0,100.0,100.0,100.0,100.0,62.696493349455864,100.0,100.0,98.36759371221282,100.0,100.0,100.0,100.0,95.52599758162032,100.0,100.0,0.0,99.87908101571946,39.84280532043531,26.964933494558647,87.48488512696494,100.0,98.36759371221282
NLD,101028,100.0,100.0,100.0,100.0,100.0,1.3926832165340302,100.0,100.0,78.25454329492814,100.0,100.0,100.0,100.0,86.81454646236686,100.0,100.0,0.0,99.91784455794433,74.06461575008909,2.7982341529081047,29.336421586094943,100.0,78.25454329492814
NZL,7513,100.0,100.0,100.0,100.0,100.0,0.21296419539464928,100.0,100.0,0.1996539331824837,100.0,100.0,100.0,100.0,85.07919606016239,100.0,100.0,0.0,99.86689737787835,34.08758152535605,8.012777851723678,53.094635964328496,100.0,0.1996539331824837
NOR,48377,100.0,100.0,100.0,100.0,100.0,0.004134196002232466,100.0,100.0,0.0062012940033486985,100.0,100.0,100.0,100.0,88.56274675982388,100.0,100.0,0.0,99.99793290199888,81.05711391777083,0.4092854042210141,30.384273518407507,100.0,0.0062012940033486985
PAK,1815,100.0,100.0,100.0,100.0,100.0,11.40495867768595,100.0,100.0,67.05234159779614,100.0,100.0,100.0,100.0,81.04683195592287,100.0,100.0,0.0,95.48209366391184,46.33608815426997,23.03030303030303,69.58677685950413,100.0,67.10743801652893
PER,15644,100.0,100.0,100.0,100.0,100.0,0.0063922270519048835,100.0,100.0,92.11838404500128,99.9936077729481,100.0,100.0,100.0,88.19994886218359,100.0,100.0,0.0,100.0,59.78649961646638,1.3359754538481208,83.51444643313731,100.0,92.11838404500128
PHL,14220,100.0,100.0,100.0,100.0,100.0,1.6736990154711673,100.0,100.0,99.71870604781998,100.0,100.0,100.0,100.0,77.60196905766526,100.0,100.0,0.0,99.87341772151899,55.26019690576653,14.050632911392405,87.41912798874824,100.0,99.71870604781998
