Country,Variant,Start,End,Threshold
ARG,Alpha,,,0.9
ARG,Beta,,,0.9
ARG,Delta,202147,202149,0.9
ARG,Omicron BA.1,,,0.9
ARG,Omicron BA.2,,,0.9
AUS,Alpha,,,0.9
AUS,Beta,,,0.9
AUS,Delta,202126,202150,0.9
AUS,Omicron BA.1,,,0.9
AUS,Omicron BA.2,,,0.9
AUT,Alpha,,,0.9
AUT,Beta,,,0.9
AUT,Delta,,,0.9
AUT,Omicron BA.1,,,0.9
AUT,Omicron BA.2,,,0.9
BEL,Alpha,,,0.9
BEL,Beta,,,0.9
BEL,Delta,202129,202149,0.9
BEL,Omicron BA.1,,,0.9
BEL,Omicron BA.2,,,0.9
BOL,Alpha,,,0.9
BOL,Beta,,,0.9
BOL,Delta,202136,202137,0.9
BOL,Omicron BA.1,,,0.9
BOL,Omicron BA.2,,,0.9
BRA,Alpha,,,0.9
BRA,Beta,,,0.9
BRA,Delta,202136,202137,0.9
BRA,Omicron BA.1,,,0.9
BRA,Omicron BA.2,,,0.9
CAN,Alpha,,,0.9
CAN,Beta,,,0.9
CAN,Delta,202130,202149,0.9
CAN,Omicron BA.1,,,0.9
CAN,Omicron BA.2,,,0.9
CHL,Alpha,,,0.9
CHL,Beta,,,0.9
CHL,Delta,202139,202149,0.9
CHL,Omicron BA.1,,,0.9
CHL,Omicron BA.2,,,0.9
COL,Alpha,,,0.9
COL,Beta,,,0.9
COL,Delta,202144,202145,0.9
COL,Omicron BA.1,,,0.9
COL,Omicron BA.2,,,0.9
DEU,Alpha,202114,202121,0.9
DEU,Beta,,,0.9
DEU,Delta,202128,202150,0.9
DEU,Omicron BA.1,,,0.9
DEU,Omicron BA.2,,,0.9
ESP,Alpha,,,0.9
ESP,Beta,,,0.9
ESP,Delta,202130,202149,0.9
ESP,Omicron BA.1,,,0.9
ESP,Omicron BA.2,,,0.9
EST,Alpha,202114,202126,0.9
EST,Beta,,,0.9
EST,Delta,202126,202127,0.9
EST,Omicron BA.1,,,0.9
EST,Omicron BA.2,,,0.9
FRA,Alpha,,,0.9
FRA,Beta,,,0.9
FRA,Delta,202128,202150,0.9
FRA,Omicron BA.1,,,0.9
FRA,Omicron BA.2,,,0.9
GBR,Alpha,202104,202117,0.9
GBR,Beta,,,0.9
GBR,Delta,202123,202149,0.9
GBR,Omicron BA.1,,,0.9
GBR,Omicron BA.2,,,0.9
GRC,Alpha,202109,202112,0.9
GRC,Beta,,,0.9
GRC,Delta,202129,202130,0.9
GRC,Omicron BA.1,,,0.9
GRC,Omicron BA.2,,,0.9
HND,Alpha,,,0.9
HND,Beta,,,0.9
HND,Delta,202130,202134,0.9
HND,Omicron BA.1,,,0.9
HND,Omicron BA.2,,,0.9
IDN,Alpha,,,0.9
IDN,Beta,,,0.9
IDN,Delta,202125,202151,0.9
IDN,Omicron BA.1,,,0.9
IDN,Omicron BA.2,,,0.9
IND,Alpha,,,0.9
IND,Beta,,,0.9
IND,Delta,202123,202124,0.9
IND,Omicron BA.1,,,0.9
IND,Omicron BA.2,,,0.9
