Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total,Vaccinated,Fully_vaccinated,Boosted
ARE,202005,0,0,0,0,4,4,,,
ARE,202006,0,0,0,0,2,2,,,
ARE,202007,0,0,0,0,1,1,,,
ARE,202008,0,0,0,0,10,10,,,
ARE,202009,0,0,0,0,10,10,,,
ARE,202011,0,0,0,0,8,8,,,
ARE,202012,0,0,0,0,5,5,,,
ARE,202013,0,0,0,0,5,5,,,
ARE,202014,0,0,0,0,16,16,,,
ARE,202015,0,0,0,0,5,5,,,
ARE,202016,0,0,0,0,16,16,,,
ARE,202017,0,0,0,0,42,42,,,
ARE,202018,0,0,0,0,62,62,,,
ARE,202019,0,0,0,0,77,77,,,
ARE,202020,0,0,0,0,336,336,,,
ARE,202021,0,0,0,0,555,555,,,
ARE,202022,0,0,0,0,6,6,,,
ARE,202023,0,0,0,0,8,8,,,
ARE,202024,0,0,0,0,100,100,,,
ARE,202025,0,0,0,0,11,11,,,
ARE,202026,0,0,0,0,96,96,,,
ARE,202027,0,0,0,0,43,43,,,
ARE,202028,0,0,0,0,16,16,,,
ARE,202033,0,0,0,0,5,5,,,
ARE,202034,0,0,0,0,9,9,,,
ARE,202035,0,1,0,0,56,57,,,
ARE,202036,0,0,0,0,8,8,,,
ARE,202037,0,0,0,0,12,12,,,
ARE,202038,0,0,0,0,18,18,,,
ARE,202039,0,0,0,0,25,25,,,
ARE,202040,1,0,0,0,62,63,,,
ARE,202041,1,0,0,0,1,2,,,
ARE,202042,0,0,0,0,14,14,,,
ARE,202043,0,0,0,0,46,46,,,
ARE,202044,0,0,0,0,21,21,,,
ARE,202046,1,0,0,0,2,3,,,
ARE,202047,2,0,0,0,52,54,,,
ARE,202048,1,0,0,0,37,38,,,
ARE,202049,0,0,0,0,16,16,,,
ARE,202050,1,0,0,0,30,31,,,
ARE,202051,1,0,0,0,16,17,,,
ARE,202052,7,2,0,0,37,46,,,
ARE,202053,27,5,0,0,77,109,,,
ARE,202101,20,1,0,0,37,58,,,
ARE,202102,57,2,0,0,38,97,,,
ARE,202103,30,9,0,0,28,67,,,
ARE,202104,41,7,0,0,25,73,,,
ARE,202105,160,7,0,0,62,229,,,
ARE,202106,25,6,0,0,8,39,,,
ARE,202117,0,0,0,0,1,1,,,
ARE,202123,0,0,2,0,0,2,,,
ARE,202124,0,0,14,0,0,14,,,
ARE,202125,0,0,6,0,0,6,,,
ARE,202228,0,0,0,1,0,1,,,
ARG,202001,0,0,0,0,1,1,,,
ARG,202002,0,0,0,0,1,1,,,
ARG,202010,0,0,0,0,2,2,,,
ARG,202011,0,0,0,0,3,3,,,
ARG,202012,0,0,0,0,6,6,,,
ARG,202013,0,0,0,0,29,29,,,
ARG,202014,0,0,0,0,38,38,,,
ARG,202015,0,0,0,0,32,32,,,
ARG,202016,0,0,0,0,34,34,,,
ARG,202017,0,0,0,0,38,38,,,
ARG,202018,0,0,0,0,65,65,,,
ARG,202019,0,0,0,0,82,82,,,
ARG,202020,0,0,0,0,86,86,,,
ARG,202021,0,0,0,0,91,91,,,
ARG,202022,0,0,0,0,34,34,,,
ARG,202023,0,0,0,0,30,30,,,
ARG,202024,0,0,0,0,32,32,,,
ARG,202025,0,0,0,0,50,50,,,
ARG,202026,0,0,0,0,26,26,,,
ARG,202027,0,0,0,0,36,36,,,
ARG,202028,0,0,0,0,52,52,,,
ARG,202029,0,0,0,0,55,55,,,
ARG,202030,0,0,0,0,56,56,,,
ARG,202031,0,0,0,0,49,49,,,
ARG,202032,0,0,0,0,51,51,,,
ARG,202033,0,0,0,0,67,67,,,
ARG,202034,0,0,0,0,70,70,,,
ARG,202035,0,0,0,0,65,65,,,
ARG,202036,0,0,0,0,45,45,,,
ARG,202037,0,0,0,0,9,9,,,
ARG,202038,0,0,0,0,27,27,,,
ARG,202039,0,0,0,0,31,31,,,
ARG,202040,0,0,0,0,17,17,,,
ARG,202041,0,0,0,0,20,20,,,
ARG,202042,0,0,0,0,49,49,,,
ARG,202043,0,0,0,0,51,51,,,
ARG,202044,0,0,0,0,29,29,,,
ARG,202045,0,0,0,0,33,33,,,
ARG,202046,0,0,1,0,24,25,,,
ARG,202047,0,0,0,0,39,39,,,
ARG,202048,0,0,0,0,37,37,,,
ARG,202049,0,0,0,0,32,32,,,
ARG,202050,0,0,0,0,27,27,,,
ARG,202051,0,0,0,0,94,94,,,
ARG,202052,1,0,0,0,103,104,,,
ARG,202053,0,0,0,0,85,85,46830.0,10.0,1.0
ARG,202101,0,0,0,0,134,134,134890.0,30.0,18.0
ARG,202102,0,0,0,0,103,103,232008.0,55.0,40.0
ARG,202103,0,0,0,0,70,70,267550.0,35370.0,58.0
ARG,202104,0,0,0,0,63,63,287289.0,101952.0,60.0
ARG,202105,5,0,0,0,68,73,332930.0,199098.0,64.0
ARG,202106,0,0,0,0,78,78,384554.0,244866.0,65.0
ARG,202107,0,0,0,0,81,81,550093.0,270904.0,68.0
ARG,202108,0,0,0,0,91,91,961008.0,307729.0,71.0
ARG,202109,4,0,0,0,150,154,1415429.0,360008.0,76.0
ARG,202110,6,0,0,0,171,177,2089543.0,475060.0,81.0
ARG,202111,14,0,0,0,194,208,2663308.0,637593.0,85.0
